省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,苏州市,昆山市,世名科技,苏州世名科技股份有限公司,特种化工品,21974,5491,25.00%,世名科技(300522),江苏省昆山市周市镇黄浦江北路219号,江苏省昆山市周市镇黄浦江北路219号,www.smcolor.com.cn,2016/7/5
江苏省,苏州市,昆山市,沪电股份,沪士电子股份有限公司,电子电气组件与设备,337555,23807,7.10%,沪电股份(002463),江苏省昆山市玉山镇东龙路1号,江苏省昆山市黑龙江北路55号,www.wuscn.com,2010/8/18
江苏省,苏州市,昆山市,众应互联,众应互联科技股份有限公司,互联网,28758,9580,33.30%,众应互联(002464),江苏省昆山开发区春旭路258号东安大厦1701室,江苏省昆山开发区春旭路258号东安大厦1701室,www.wholeasy.com,2010/8/31
江苏省,苏州市,昆山市,新宁物流,江苏新宁现代物流股份有限公司,商业辅助服务,66871,7895,11.80%,新宁物流(300013),江苏省昆山市张浦镇阳光西路760号,江苏省昆山市张浦镇阳光西路760号,www.xinning.com.cn,2009/10/30
江苏省,苏州市,昆山市,天瑞仪器,江苏天瑞仪器股份有限公司,电子设备,44453,8265,18.60%,天瑞仪器(300165),江苏省昆山市玉山镇中华园西路1888号天瑞大厦,江苏省昆山市玉山镇中华园西路1888号天瑞大厦,www.skyray-instrument.com,2011/1/25
江苏省,苏州市,昆山市,飞力达,江苏飞力达国际物流股份有限公司,商业辅助服务,219201,8516,3.90%,飞力达(300240),江苏省昆山开发区,江苏省昆山开发区玫瑰路999号,www.feiliks.com,2011/7/6
江苏省,苏州市,昆山市,新莱应材,昆山新莱洁净应用材料股份有限公司,工业机械,46585,1643,3.50%,新莱应材(300260),江苏省昆山市陆家镇陆丰西路22号,江苏省昆山市陆家镇陆丰西路22号,www.kinglai.com.cn,2011/9/6
江苏省,苏州市,昆山市,优德精密,优德精密工业(昆山)股份有限公司,工业机械,35003,6890,19.70%,优德精密(300549),江苏省昆山高科技工业园北门路3168号,江苏省昆山高科技工业园北门路3168号,www.jouder.com,2016/9/30
江苏省,苏州市,昆山市,科森科技,昆山科森科技股份有限公司,工业金属,146339,13044,8.90%,科森科技(603626),江苏省昆山开发区昆嘉路389号,江苏省昆山开发区昆嘉路389号,www.kersentech.com,2017/2/9
江苏省,苏州市,昆山市,春秋电子,苏州春秋电子科技股份有限公司,电子设备,125804,15140,12.00%,春秋电子(603890),江苏省昆山市张浦镇江丰路278号2号房,江苏省昆山市张浦镇江丰路278号2号房,www.szchunqiu.com,2017/12/12
江苏省,苏州市,昆山市,哈森股份,哈森商贸(中国)股份有限公司,鞋类,107417,1336,1.20%,哈森股份(603958),江苏省昆山市花桥镇曹安经济技术开发区花安路1008号5幢6层,江苏省昆山市花桥镇曹安经济技术开发区花安路1008号5幢6层,www.harsongroup.com,2016/6/29
