省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,苏州市,常熟市,通润装备,江苏通润装备科技股份有限公司,耐用消费品,89286,9669,10.80%,通润装备(002150),,江苏省常熟市海虞镇周行通港工业开发区,江苏省常熟市海虞镇周行通港工业开发区,www.tongrunindustries.com,2007-8-10
江苏省,苏州市,常熟市,常铝股份,江苏常铝铝业股份有限公司,铝业,287849,12358,4.30%,常铝股份(002160),,江苏省常熟市白茆镇西,江苏省常熟市白茆镇西,www.alcha.com,2007-8-21
江苏省,苏州市,常熟市,中利集团,江苏中利集团股份有限公司,电子电气组件与设备,1164049,5711,0.50%,中利集团(002309),,江苏省常熟东南经济开发区,江苏省常熟东南经济开发区常昆线8号,www.zhongli.com,2009-11-27
江苏省,苏州市,常熟市,亿通科技,江苏亿通高科技股份有限公司,通讯设备,11795,367,3.10%,亿通科技(300211),,江苏省常熟市通林路28号,江苏省常熟市通林路28号,www.yitong-group.com,2011-5-5
江苏省,苏州市,常熟市,天银机电,常熟市天银机电股份有限公司,电子电气组件与设备,57375,16208,28.20%,天银机电(300342),,江苏省苏州市常熟碧溪新区迎宾路8号,江苏省苏州市常熟碧溪新区迎宾路8号,www.tyjd.cc,2012-7-26
江苏省,苏州市,常熟市,瑞特股份,常熟瑞特电气股份有限公司,商用运载工具与车辆,32401,9994,30.80%,瑞特股份(300600),,江苏省常熟市虞山镇高新技术产业园青岛路2号,江苏省常熟市虞山镇高新技术产业园青岛路2号,www.cn-ruite.com,2017-1-25
江苏省,苏州市,常熟市,常熟银行,江苏常熟农村商业银行股份有限公司,金融服务业,361877,120315,33.20%,常熟银行(601128),,江苏省常熟市新世纪大道58号,江苏省常熟市新世纪大道58号,www.csrcbank.com,2016-9-30
江苏省,苏州市,常熟市,风范股份,常熟风范电力设备股份有限公司,建材与构件,174603,18504,10.60%,风范股份(601700),,江苏省常熟市尚湖镇工业集中区西区人民南路8号,江苏省常熟市尚湖镇工业集中区西区人民南路8号,www.cstower.cn,2011-1-18
江苏省,苏州市,常熟市,常熟汽饰,常熟市汽车饰件股份有限公司,汽车与零配件（II）,89453,17354,19.40%,常熟汽饰(603035),,江苏省苏州市常熟市海虞北路288号,江苏省苏州市常熟市海虞北路288号,www.caip.com.cn,2017-1-5
江苏省,苏州市,常熟市,中来股份,苏州中来光伏新材股份有限公司,电子电气组件与设备,260058,24189,9.30%,中来股份(300393),,江苏省常熟市沙家浜镇常昆工业园区青年路,江苏省常熟市沙家浜镇常昆工业园区青年路,www.jolywood.cn,2014-9-12
