省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江西省,赣州市,章贡区,五矿稀土,五矿稀土股份有限公司,铝业,60683,3862,6.40%,五矿稀土(000831),,山西省运城市解州镇新建路36号,江西省赣州市章江南大道18号豪德银座A栋14、15层,www.cmreltd.com,1998-9-11
江西省,鹰潭市,月湖区,三川智慧,三川智慧科技股份有限公司,工业机械,42491,6055,14.20%,三川智慧(300066),,江西省鹰潭高新区龙岗片区三川水工产业园,江西省鹰潭高新区龙岗片区三川水工产业园,www.ytsanchuan.com,2010-3-26
江西省,宜春市,袁州区,江特电机,江西特种电机股份有限公司,工业机械,193906,25226,13.00%,江特电机(002176),,江西省宜春市环城南路581号,江西省宜春市环城南路581号,www.jiangte.com.cn,2007-10-12
江西省,新余市,渝水区,赣锋锂业,江西赣锋锂业股份有限公司,有色金属,284200,113969,40.10%,赣锋锂业(002460),,江西省新余市经济开发区龙腾路,江西省新余市经济开发区龙腾路,www.ganfenglithium.com,2010-8-10
江西省,新余市,渝水区,新余国科,江西新余国科科技股份有限公司,电子电气组件与设备,14061,3233,23.00%,新余国科(300722),,江西省新余市仙女湖区观巢镇松山江村,江西省新余市仙女湖区观巢镇松山江村,www.jx9394.com,2017-11-10
江西省,新余市,渝水区,新钢股份,新余钢铁股份有限公司,钢铁,3551026,160568,4.50%,新钢股份(600782),,江西省新余市铁焦路,江西省新余市冶金路,www.xinsteel.com.cn,1996-12-25
江西省,南昌市,西湖区,赣粤高速,江西赣粤高速公路股份有限公司,运输服务,326552,83058,25.40%,赣粤高速(600269),,江西省南昌市高新技术开发区火炬大街199号赣能大厦,江西省南昌市西湖区朝阳洲中路367号赣粤大厦,www.jxexpressway.com,2000-5-18
江西省,南昌市,西湖区,安源煤业,安源煤业集团股份有限公司,煤炭开采,279753,-4623,-1.70%,安源煤业(600397),,江西省萍乡市昭萍东路3号,江西省南昌市西湖区丁公路117号,www.anyuan2002.com,2002-7-2
江西省,南昌市,西湖区,江西长运,江西长运股份有限公司,运输服务,210067,5826,2.80%,江西长运(600561),,江西省南昌市西湖区广场南路118号,江西省南昌市广场南路118号,www.jxcy.com.cn,2002-7-16
江西省,上饶市,上饶县,凤凰光学,凤凰光学股份有限公司,工业机械,56811,-4104,-7.20%,凤凰光学(600071),,江西省上饶市经济技术开发区凤凰西大道197号,江西省上饶市凤凰西大道197号,www.phenixoptics.com.cn,1997-5-28
江西省,南昌市,青云谱区,江铃汽车,江铃汽车股份有限公司,汽车,2243518,43745,1.90%,江铃汽车(000550),,江西省南昌市迎宾北大道509号,江西省南昌市迎宾北大道509号,www.jmc.com.cn,1993-12-1
江西省,南昌市,青云谱区,仁和药业,仁和药业股份有限公司,制药,271502,39082,14.40%,仁和药业(000650),,江西省南昌市高新开发区京东北大道399号,江西省南昌市洪城路国贸广场A区巨豪峰2601室,www.renheyaoye.com,1996-12-10
江西省,南昌市,青云谱区,江铃汽车,江铃汽车股份有限公司,汽车,2243518,43745,1.90%,江铃B(200550),,江西省南昌市迎宾北大道509号,江西省南昌市迎宾北大道509号,www.jmc.com.cn,1993-12-1
江西省,南昌市,青云谱区,洪都航空,江西洪都航空工业股份有限公司,航空航天,131124,-8813,-6.70%,洪都航空(600316),,江西省南昌市新溪桥,江西省南昌市新溪桥,www.hongdu-aviation.com,2000-12-15
江西省,南昌市,青云谱区,洪城水业,江西洪城水业股份有限公司,水务,240042,32568,13.60%,洪城水业(600461),,江西省南昌市灌婴路98号,江西省南昌市灌婴路99号,www.jxhcsy.com,2004-6-1
江西省,南昌市,青山湖区,万年青,江西万年青水泥股份有限公司,建材与构件,461506,58535,12.70%,万年青(000789),,江西省万年县陈营镇,江西省南昌市高新技术开发区京东大道399号,www.wnq.com.cn,1997-9-23
江西省,南昌市,青山湖区,赣能股份,江西赣能股份有限公司,电力（IV）,158431,17897,11.30%,赣能股份(000899),,江西省南昌市高新技术开发区火炬大街199号,江西省南昌市高新技术开发区火炬大街199号,www.000899.com,1997-11-26
江西省,南昌市,青山湖区,诚志股份,诚志股份有限公司,通用化工品,420099,66840,15.90%,诚志股份(000990),,江西省南昌市经济开发区玉屏东大道299号,江西省南昌市经济开发区玉屏东大道299号清华科技园（江西）华江大厦,www.chengzhi.com.cn,2000-7-6
江西省,南昌市,青山湖区,正邦科技,江西正邦科技股份有限公司,农业与渔业,1472882,43927,3.00%,正邦科技(002157),,江西省南昌市高新技术开发区艾溪湖一路569号,江西省南昌市高新技术开发区艾溪湖一路569号,www.zhengbang.com,2007-8-17
江西省,南昌市,青山湖区,*ST昌九,江西昌九生物化工股份有限公司,特种化工品,39410,-1473,-3.70%,*ST昌九(600228),,江西省赣州市章贡区黄屋坪路25号,江西省南昌市青山湖区尤氨路,www.600228.net,1999-1-19
江西省,南昌市,青山湖区,联创光电,江西联创光电科技股份有限公司,电子电气组件与设备,216782,19117,8.80%,联创光电(600363),,江西省南昌市高新产业技术开发区京东大道168号,江西省南昌市高新产业技术开发区京东大道168号,www.lianchuang.com.cn,2001-3-29
江西省,南昌市,青山湖区,中文传媒,中文天地出版传媒股份有限公司,出版业,899084,115013,12.80%,中文传媒(600373),,江西省上饶市南环路2号,江西省南昌市红谷滩新区学府大道299号中文传媒大厦,www.600373.com.cn,2002-3-4
江西省,南昌市,青山湖区,方大特钢,方大特钢科技股份有限公司,钢铁,1012691,204932,20.20%,方大特钢(600507),,江西省南昌市高新技术产业开发区火炬大道31号,江西省南昌市青山湖区冶金大道475号,www.changli-steels.com,2003-9-30
江西省,南昌市,青山湖区,泰豪科技,泰豪科技股份有限公司,电子电气组件与设备,230225,12852,5.60%,泰豪科技(600590),,江西省南昌高新开发区清华泰豪大楼,江西省南昌高新开发区清华泰豪大厦,www.tellhow.com,2002-7-3
江西省,南昌市,南昌县,煌上煌,江西煌上煌集团食品股份有限公司,食品生产（IV）,113286,16027,14.10%,煌上煌(002695),,江西省南昌市南昌县小蓝经济开发区小蓝中大道66号,江西省南昌县小蓝经济开发区小蓝中大道66号,www.jxhsh.com.cn,2012-9-5
江西省,南昌市,南昌县,三鑫医疗,江西三鑫医疗科技股份有限公司,医疗设备,29050,3554,12.20%,三鑫医疗(300453),,江西省南昌市南昌县小蓝经济开发区富山大道999号,江西省南昌市南昌县小蓝经济开发区富山大道999号,www.sanxin-med.com,2015-5-15
江西省,南昌市,南昌县,江西铜业,江西铜业股份有限公司,有色金属,15535540,249986,1.60%,江西铜业(600362),,江西省贵溪市冶金大道15号,江西省南昌市昌东大道7666号,www.jxcc.com,2002-1-11
江西省,抚州市,临川区,博雅生物,博雅生物制药集团股份有限公司,生物科技,83971,27281,32.50%,博雅生物(300294),,江西省抚州市高新技术产业园区惠泉路333号,江西省抚州市高新技术产业园区惠泉路333号,www.china-boya.com,2012-3-8
江西省,景德镇市,乐平市,世龙实业,江西世龙实业股份有限公司,特种化工品,93413,16572,17.70%,世龙实业(002748),,江西省乐平市接渡镇（江西世龙实业股份有限公司3栋行政办公楼）,江西省乐平市接渡镇（江西世龙实业股份有限公司3栋行政）,www.chinaselon.com,2015-3-19
江西省,南昌市,高新区,恒大高新,江西恒大高新技术股份有限公司,通用化工品,14578,-2252,-15.40%,恒大高新(002591),,江西省南昌市高新区金庐北路88号,江西省南昌市高新区金庐北路88号,www.heng-da.com,2011-6-21
江西省,南昌市,高新区,江中药业,江中药业股份有限公司,制药,130765,38670,29.60%,江中药业(600750),,江西省南昌市高新区火炬大道788号,江西省南昌市高新区火炬大道788号,www.jzjt.com,1996-9-23
江西省,南昌市,高新区,国泰集团,江西国泰民爆集团股份有限公司,通用化工品,38774,6408,16.50%,国泰集团(603977),,江西省南昌市高新区高新一路89号,江西省南昌市高新区高新一路89号,www.jxgtmb.com,2016-11-11
江西省,南昌市,高新区,联创电子,联创电子科技股份有限公司,电子电气组件与设备,361462,17111,4.70%,联创电子(002036),,江西省南昌市高新开发区京东大道1699号,江西省南昌市高新区京东大道1699号,www.lcetron.com,2004-9-3
江西省,景德镇市,高新区,华意压缩,华意压缩机股份股份有限公司,工业机械,623908,24887,4.00%,华意压缩(000404),,江西省景德镇市高新区长虹大道1号,江西省景德镇市高新区长虹大道1号,www.hua-yi.cn,1996-6-19
江西省,宜春市,奉新县,同和药业,江西同和药业股份有限公司,制药,22237,5306,23.90%,同和药业(300636),,江西省宜春市奉新县奉新工业园区,江西省宜春市奉新县奉新工业园区,www.jxsynergy.com,2017-3-31
江西省,宜春市,丰城市,华伍股份,江西华伍制动器股份有限公司,工业机械,44160,4415,10.00%,华伍股份(300095),,江西省丰城市高新技术产业园区火炬大道26号,江西省丰城市高新技术产业园区火炬大道26号,www.hua-wu.com,2010-7-28
江西省,南昌市,东湖区,九鼎投资,昆吾九鼎投资控股股份有限公司,不动产投资开发,45679,16030,35.10%,九鼎投资(600053),,江西省南昌市湾里区翠岩路1号,江西省南昌市东湖区沿江北大道1379号紫金城A栋写字楼,600053@jdcapital.com,1997-4-18
江西省,赣州市,崇义县,章源钨业,崇义章源钨业股份有限公司,有色金属,141468,3719,2.60%,章源钨业(002378),,江西省赣州市崇义县城塔下,江西省赣州市崇义县城塔下,www.zy-tungsten.com,2010-3-31
