省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河北省,石家庄市,正定县,常山药业,河北常山生化药业股份有限公司,生物科技,88071,15751,17.90%,常山药业(300255),河北省石家庄市正定镇火车站西富强路9号,河北省石家庄市正定新区银川大街北首,www.heparin.cn,2011/8/19
河北省,石家庄市,裕华区,河钢股份,河北钢铁股份有限公司,钢铁,8690571,302114,3.50%,河钢股份(000709),河北省石家庄市体育南大街385号,河北省石家庄市体育南大街385号,www.hebgtgf.com,1997/4/16
河北省,石家庄市,裕华区,东方能源,石家庄东方能源股份有限公司,电力（IV）,176222,9429,5.40%,东方能源(000958),河北省石家庄市建华南大街161号,河北省石家庄市建华南大街161号,www.dfrdjt.com,1999/12/23
河北省,石家庄市,裕华区,以岭药业,石家庄以岭药业股份有限公司,制药,305970,53822,17.60%,以岭药业(002603),河北省石家庄市高新技术产业开发区天山大街238号,河北省石家庄市高新技术产业开发区天山大街238号,www.yiling.cn,2011/7/28
河北省,石家庄市,裕华区,冀凯股份,冀凯装备制造股份有限公司,工业机械,21569,933,4.30%,冀凯股份(002691),河北省石家庄高新区湘江道418号,河北省石家庄高新区湘江道418号,www.jikaigf.com,2012/7/31
河北省,石家庄市,裕华区,恒信东方,恒信东方文化股份有限公司,移动通信服务,28493,9862,34.60%,恒信东方(300081),河北省石家庄市开发区天山大街副69号,河北省石家庄市建设南大街80号恒辉商务大厦,www.hxgro.com,2010/5/20
河北省,石家庄市,裕华区,先河环保,河北先河环保科技股份有限公司,电子设备,62470,10150,16.20%,先河环保(300137),河北省石家庄市高新技术开发区湘江道251号,河北省石家庄市高新技术开发区湘江道251号,www.sailhero.com.cn,2010/11/5
河北省,石家庄市,裕华区,汇金股份,河北汇金机电股份有限公司,工业机械,29479,-5416,-18.40%,汇金股份(300368),河北省石家庄高新技术产业开发区湘江道209号,河北省石家庄高新技术产业开发区湘江道209号,www.hjjs.com,2014/1/23
河北省,石家庄市,裕华区,通合科技,石家庄通合电子科技股份有限公司,工业机械,11995,-790,-6.60%,通合科技(300491),河北省石家庄高新区漓江道350号,河北省石家庄高新区漓江道350号,www.sjzthdz.com,2015/12/31
河北省,石家庄市,桥西区,建投能源,河北建投能源投资股份有限公司,电力（IV）,719436,53376,7.40%,建投能源(000600),河北省石家庄市裕华西路9号裕园广场A座,河北省石家庄市裕华西路9号裕园广场A座17层,www.jei.com.cn,1996/6/6
河北省,石家庄市,鹿泉区,科林电气,石家庄科林电气股份有限公司,电子电气组件与设备,54313,2814,5.20%,科林电气(603050),河北省石家庄市鹿泉区红旗大街南降壁路段,河北省石家庄市鹿泉区红旗大街南降壁路段,www.kldcop.com,2017/4/14
河北省,石家庄市,藁城市,常山北明,石家庄常山北明科技股份有限公司,服装与服饰,601720,7417,1.20%,常山北明(000158),河北省石家庄市和平东路183号,河北省石家庄市和平东路183号,www.changshantex.com,2000/7/24
河北省,石家庄市,藁城市,华北制药,华北制药股份有限公司,制药,569827,8657,1.50%,华北制药(600812),河北省石家庄市和平东路388号,河北省石家庄市和平东路388号,www.ncpc.com,1994/1/14
河北省,石家庄市,高新区,博深工具,博深工具股份有限公司,工业机械,38052,5753,15.10%,博深工具(002282),河北省石家庄市高新区海河道10号,河北省石家庄市高新区长江大道289号,www.bosuntools.com,2009/8/21
