省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河南省,焦作市,中站区,多氟多,多氟多化工股份有限公司,特种化工品,248029,26783,10.80%,多氟多(002407),,河南省焦作市中站区焦克路,河南省焦作市中站区焦克路,www.dfdchem.com,2010-5-18
河南省,焦作市,中站区,龙蟒佰利,龙蟒佰利联集团股份有限公司,通用化工品,755339,236024,31.20%,龙蟒佰利(002601),,河南省焦作市中站区西,河南省焦作市中站区焦克路,www.billionschem.com,2011-7-15
河南省,郑州市,中原区,新天科技,新天科技股份有限公司,工业机械,46809,11266,24.10%,新天科技(300259),,河南省郑州高新技术产业开发区国槐街19号,河南省郑州国家级高新技术产业开发区红松路252号,www.suntront.com,2011-8-31
河南省,郑州市,中原区,汉威科技,汉威科技集团股份有限公司,工业机械,100401,11711,11.70%,汉威科技(300007),,河南省郑州高新技术开发区雪松路169号,河南省郑州高新技术开发区雪松路169号,www.hwsensor.com,2009-10-30
河南省,郑州市,中原区,豫金刚石,郑州华晶金刚石股份有限公司,工业机械,96792,17182,17.80%,豫金刚石(300064),,河南省郑州市高新开发区冬青街24号,河南省郑州市高新开发区长椿路23号郑州高新企业加速器产业园C5-1/2楼,www.sinocrystal.com.cn,2010-3-26
河南省,郑州市,中原区,新开普,新开普电子股份有限公司,软件,42664,4553,10.70%,新开普(300248),,河南省郑州高新技术产业开发区迎春街18号,河南省郑州高新技术产业开发区迎春街18号,www.newcapec.com.cn,2011-7-29
河南省,郑州市,中原区,光力科技,光力科技股份有限公司,工业机械,11458,2323,20.30%,光力科技(300480),,河南省郑州高新开发区长椿路10号,河南省郑州高新开发区长椿路10号,www.gltech.cn,2015-7-2
河南省,郑州市,中原区,*ST郑煤,郑州煤电股份有限公司,煤炭开采,450376,93238,20.70%,*ST郑煤(600121),,河南省郑州市中原西路188号,河南省郑州市中原西路188号,www.zzce.com.cn,1998-1-7
河南省,漯河市,召陵区,双汇发展,河南双汇投资发展股份有限公司,食品生产（IV）,3727015,410640,11.00%,双汇发展(000895),,河南省漯河市双汇路1号,河南省漯河市双汇路1号双汇大厦,www.shuanghui.net,1998-12-10
河南省,漯河市,召陵区,银鸽投资,河南银鸽实业投资股份有限公司,造纸,212061,-3071,-1.40%,银鸽投资(600069),,河南省漯河市召陵区人民东路6号,河南省漯河市人民东路与东环路交叉口银鸽科技研发大厦,www.yinge.com.cn,1997-4-30
河南省,平顶山市,湛河区,平高电气,河南平高电气股份有限公司,电子电气组件与设备,596182,57496,9.60%,平高电气(600312),,河南省平顶山市南环东路22号,河南省平顶山市南环东路22号,www.pinggao.com,2001-2-21
河南省,商丘市,虞城县,科迪乳业,河南科迪乳业股份有限公司,食品生产（IV）,90885,12555,13.80%,科迪乳业(002770),,河南省虞城县产业集聚区工业大道18号,河南省虞城县产业集聚区工业大道18号,www.kedidairy.com,2015-6-30
河南省,安阳市,殷都区,安彩高科,河南安彩高科股份有限公司,管道输送,139196,176,0.10%,安彩高科(600207),,河南省安阳市中州路南段,河南省安阳市中州路南段,www.acht.com.cn,1999-7-14
