省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河南省,洛阳市,偃师市,通达股份,河南通达电缆股份有限公司,电子电气组件与设备,118036,1235,1.00%,通达股份(002560),河南省偃师市史家湾工业区,河南省偃师市史家湾工业区,www.hntddl.com,2011/3/3
河南省,洛阳市,西工区,洛阳玻璃,洛阳玻璃股份有限公司,建材与构件,26144,542,2.10%,洛阳玻璃(600876),河南省洛阳市西工区唐宫中路9号,河南省洛阳市西工区唐宫中路9号,www.zhglb.com,1995/10/31
河南省,洛阳市,栾川县,洛阳钼业,洛阳栾川钼业集团股份有限公司,金矿开采,1770653,344608,19.50%,洛阳钼业(603993),河南省洛阳市栾川县城东新区画眉山路伊河以北,河南省洛阳市栾川县城东新区画眉山路伊河以北,www.chinamoly.com,2012/10/9
河南省,洛阳市,老城区,隆华节能,洛阳隆华传热节能股份有限公司,工业机械,75956,5509,7.30%,隆华节能(300263),河南省洛阳市空港产业集聚区,河南省洛阳市空港产业集聚区,www.longhuachuanre.com,2011/9/16
河南省,洛阳市,涧西区,轴研科技,洛阳轴研科技股份有限公司,工业机械,37193,-1417,-3.80%,轴研科技(002046),河南省洛阳市高新技术开发区丰华路6号,河南省洛阳市吉林路1号,www.zys.com.cn,2005/5/26
河南省,洛阳市,涧西区,一拖股份,第一拖拉机股份有限公司,工业机械,603595,5354,0.90%,一拖股份(601038),河南省洛阳市建设路154号,河南省洛阳市建设路154号,www.first-tractor.com.cn,2012/8/8
河南省,洛阳市,涧西区,中信重工,中信重工机械股份有限公司,工业机械,330847,6481,2.00%,中信重工(601608),河南省洛阳市涧西区建设路206号,河南省洛阳市涧西区建设路206号,www.citichmc.com,2012/7/6
河南省,洛阳市,吉利区,中航光电,中航光电科技股份有限公司,电子电气组件与设备,449967,70702,15.70%,中航光电(002179),中国（河南）自由贸易区试验区洛阳片区洛阳高新技术开发区周山路10号,河南省洛阳高新技术开发区周山路10号,www.jonhon.cn,2007/11/1
河南省,洛阳市,吉利区,普莱柯,普莱柯生物工程股份有限公司,制药,38112,8479,22.20%,普莱柯(603566),中国（河南）自由贸易试验区洛阳片区高新开发区凌波路,河南省洛阳高新开发区凌波路,www.pulike.com.cn,2015/5/18
河南省,洛阳市,高新区,北玻股份,洛阳北方玻璃技术股份有限公司,工业机械,75573,-1371,-1.80%,北玻股份(002613),河南省洛阳市高新区滨河路20号,河南省洛阳市高新区滨河路20号,www.northglass.com,2011/8/30
河南省,洛阳市,高新区,成飞集成,四川成飞集成科技股份有限公司,工业机械,100058,-2228,-2.20%,成飞集成(002190),四川省成都市青羊区日月大道666号一栋,河南省洛阳市高新区滨河北路66号,www.cac-citc.com.cn,2007/12/3
