省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河南省,郑州市,中原区,新天科技,新天科技股份有限公司,工业机械,46809,11266,24.10%,新天科技(300259),,河南省郑州高新技术产业开发区国槐街19号,河南省郑州国家级高新技术产业开发区红松路252号,www.suntront.com,2011-8-31
河南省,郑州市,中原区,汉威科技,汉威科技集团股份有限公司,工业机械,100401,11711,11.70%,汉威科技(300007),,河南省郑州高新技术开发区雪松路169号,河南省郑州高新技术开发区雪松路169号,www.hwsensor.com,2009-10-30
河南省,郑州市,中原区,豫金刚石,郑州华晶金刚石股份有限公司,工业机械,96792,17182,17.80%,豫金刚石(300064),,河南省郑州市高新开发区冬青街24号,河南省郑州市高新开发区长椿路23号郑州高新企业加速器产业园C5-1/2楼,www.sinocrystal.com.cn,2010-3-26
河南省,郑州市,中原区,新开普,新开普电子股份有限公司,软件,42664,4553,10.70%,新开普(300248),,河南省郑州高新技术产业开发区迎春街18号,河南省郑州高新技术产业开发区迎春街18号,www.newcapec.com.cn,2011-7-29
河南省,郑州市,中原区,光力科技,光力科技股份有限公司,工业机械,11458,2323,20.30%,光力科技(300480),,河南省郑州高新开发区长椿路10号,河南省郑州高新开发区长椿路10号,www.gltech.cn,2015-7-2
河南省,郑州市,中原区,*ST郑煤,郑州煤电股份有限公司,煤炭开采,450376,93238,20.70%,*ST郑煤(600121),,河南省郑州市中原西路188号,河南省郑州市中原西路188号,www.zzce.com.cn,1998-1-7
河南省,郑州市,新郑市,雏鹰农牧,雏鹰农牧集团股份有限公司,农业与渔业,373497,67726,18.10%,雏鹰农牧(002477),,河南省新郑市薛店镇,河南省新郑市薛店镇世纪大道公司办公区,www.chu-ying.com,2010-9-15
河南省,郑州市,新郑市,好想你,好想你健康食品股份有限公司,食品生产（IV）,280939,8089,2.90%,好想你(002582),,河南省新郑市薛店镇,河南省郑州市新郑市薛店镇S102与中华路交叉口北好想你枣业股份有限公司行政中心7楼,www.haoxiangni.cn,2011-5-20
河南省,郑州市,金水区,大地传媒,中原大地传媒股份有限公司,出版业,557186,41732,7.50%,大地传媒(000719),,河南省焦作市塔南路45号,河南省郑州市金水东路39号中国(河南)出版产业园A座,--,1997-3-31
河南省,郑州市,金水区,同力水泥,河南同力水泥股份有限公司,建材与构件,380084,89907,23.70%,同力水泥(000885),,河南省郑州市农业路41号投资大厦9层,河南省郑州市农业路41号投资大厦A座8、9层,www.tlcement.com,1999-3-19
河南省,郑州市,金水区,豫能控股,河南豫能控股股份有限公司,电力（IV）,584338,-1353,-0.20%,豫能控股(001896),,河南省郑州市金水区农业路东41号B座8-12层,河南省郑州市农业路东41号投资大厦B座8-12层,www.yuneng.com.cn,1998-1-22
河南省,郑州市,金水区,辅仁药业,辅仁药业集团实业股份有限公司,制药,38172,2113,5.50%,辅仁药业(600781),,河南省鹿邑县产业集聚区同源路1号,河南省郑州市花园路25号辅仁大厦9楼,www.shfuren.cn,1996-12-18
河南省,郑州市,惠济区,三全食品,三全食品股份有限公司,食品生产（IV）,388529,10467,2.70%,三全食品(002216),,河南省郑州市综合投资区长兴路中段,河南省郑州市综合投资区长兴路中段,www.sanquan.com,2008-2-20
河南省,郑州市,管城区,宇通客车,郑州宇通客车股份有限公司,商用运载工具与车辆,1899497,217110,11.40%,宇通客车(600066),,河南省郑州市管城区宇通路,河南省郑州市管城区宇通路宇通工业园,www.yutong.com,1997-5-8
河南省,郑州市,管城回族区,中原环保,中原环保股份有限公司,水务,71055,28889,40.70%,中原环保(000544),,河南省郑州市郑东新区才高街6号东方鼎盛中心A座10层,河南省郑州市郑东新区才高街6号东方鼎盛中心A座10层,www.cpepgc.com,1993-12-8
河南省,郑州市,管城回族区,辉煌科技,河南辉煌科技股份有限公司,计算机服务,31622,4393,13.90%,辉煌科技(002296),,河南省郑州市高新技术产业开发区科学大道74号,河南省郑州市高新技术产业开发区科学大道74号,www.hhkj.cn,2009-9-29
河南省,郑州市,管城回族区,三晖电气,郑州三晖电气股份有限公司,工业机械,12785,1835,14.40%,三晖电气(002857),,河南省郑州市经济技术开发区第五大街85号,河南省郑州市经济技术开发区第五大街85号,www.cnsms.com,2017-3-23
河南省,郑州市,管城回族区,四方达,河南四方达超硬材料股份有限公司,特种化工品,23223,7461,32.10%,四方达(300179),,河南省郑州市经济技术开发区第十大街109号,河南省郑州市经济技术开发区第十大街109号,www.sf-diamond.com.cn,2011-2-15
河南省,郑州市,管城回族区,中原高速,河南中原高速公路股份有限公司,运输服务,445458,132951,29.80%,中原高速(600020),,河南省郑州市郑东新区民生路1号1号楼第7层、第8层,河南省郑州市郑东新区农业东路100号,www.zygs.com,2003-8-8
河南省,郑州市,管城回族区,太龙药业,河南太龙药业股份有限公司,制药,79690,1263,1.60%,太龙药业(600222),,河南省郑州市高新技术产业开发区金梭路8号,河南省郑州市高新技术产业开发区金梭路8号,www.taloph.com,1999-11-5
河南省,郑州市,管城回族区,中原证券,中原证券股份有限公司,金融服务业,157106,54940,35.00%,中原证券(601375),,河南省郑州市郑东新区商务外环路10号,河南省郑州市郑东新区商务外环路10号,www.ccnew.com,2017-1-3
河南省,郑州市,管城回族区,郑煤机,郑州煤矿机械集团股份有限公司,工业机械,534829,43709,8.20%,郑煤机(601717),,河南省郑州市经济技术开发区第九大街167号,河南省郑州市经济技术开发区第九大街167号,www.zzmj.com,2010-8-3
