省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,台州市,玉环县,中捷资源,中捷资源投资股份有限公司,工业机械,68363,-6197,-9.10%,中捷资源(002021),浙江省玉环县大麦屿街道兴港东路198号,浙江省玉环县大麦屿街道兴港东路198号,www.zoje.com,2004-7-15
浙江省,台州市,玉环县,永和智控,永和流体智控股份有限公司,工业机械,40754,5154,12.60%,永和智控(002795),浙江省玉环县清港镇工业产业集聚区,浙江省玉环县清港镇工业产业集聚区,www.yhvalve.com,2016-4-28
浙江省,台州市,玉环县,正裕工业,浙江正裕工业股份有限公司,汽车与零配件（II）,62950,7028,11.20%,正裕工业(603089),浙江省玉环县珠港镇三合潭工业区双港路,浙江省玉环县珠港镇三合潭工业区双港路,www.addchina.com,2017-1-26
浙江省,台州市,仙居县,仙琚制药,浙江仙琚制药股份有限公司,制药,198879,18687,9.40%,仙琚制药(002332),浙江省仙居县仙药路1号,浙江省仙居县仙药路1号,www.xjpharma.com,2010-1-12
浙江省,台州市,仙居县,浙江仙通,浙江仙通橡塑股份有限公司,汽车与零配件（II）,49559,14242,28.70%,浙江仙通(603239),浙江省台州市仙居县现代工业集聚区,浙江省台州市仙居县现代工业集聚区,www.zjxiantong.com,2016-12-30
浙江省,台州市,仙居县,司太立,浙江司太立制药股份有限公司,制药,55161,8427,15.30%,司太立(603520),浙江省仙居县现代工业集聚区司太立大道1号,浙江省仙居县现代工业集聚区司太立大道1号,http://www.starrypharm.com,2016-3-9
浙江省,台州市,温岭市,钱江摩托,浙江钱江摩托股份有限公司,汽车,185975,5609,3.00%,钱江摩托(000913),浙江省温岭市经济开发区,浙江省温岭市经济开发区,www.qjmotor.com,1999-5-14
浙江省,台州市,温岭市,爱仕达,浙江爱仕达电器股份有限公司,耐用消费品,214684,12258,5.70%,爱仕达(002403),浙江省温岭市经济开发区科技路2号,浙江省温岭市经济开发区科技路2号,www.chinaasd.com,2010-5-11
浙江省,台州市,温岭市,新界泵业,浙江新界泵业股份有限公司,工业机械,108962,16980,15.60%,新界泵业(002532),浙江省温岭市大溪镇大洋城工业区,浙江省温岭市大溪镇大洋城工业区,www.shimge.com,2010-12-31
浙江省,台州市,温岭市,跃岭股份,浙江跃岭股份有限公司,汽车零配件（IV）,56258,2535,4.50%,跃岭股份(002725),浙江省温岭市泽国镇泽国大道888号,浙江省温岭市泽国镇现代大道北侧,www.yuering.com,2014-1-29
浙江省,台州市,温岭市,东音股份,浙江东音泵业股份有限公司,工业机械,62541,10767,17.20%,东音股份(002793),浙江省温岭市大溪镇大石一级公路南侧,浙江省温岭市大溪镇大石一级公路南侧,www.doyin.com,2016-4-15
浙江省,台州市,温岭市,大元泵业,浙江大元泵业股份有限公司,专业零售,77188,14184,18.40%,大元泵业(603757),浙江省温岭市泽国镇丹崖工业区,浙江省温岭市泽国镇丹崖工业区,www.cnpumps.com,2017-7-11
浙江省,台州市,温岭市,中马传动,浙江中马传动股份有限公司,汽车与零配件（II）,63922,6264,9.80%,中马传动(603767),浙江省温岭市石塘镇上马工业区经一路1号,浙江省温岭市石塘镇上马工业区经一路1号,www.zomaxcd.com,2017-6-13
浙江省,台州市,天台县,银轮股份,浙江银轮机械股份有限公司,汽车零配件（IV）,309062,31368,10.10%,银轮股份(002126),浙江省天台县福溪街道始丰东路8号,浙江省天台县福溪街道交通运输机械工业园区,www.yinlun.com,2007-4-18
浙江省,台州市,天台县,永贵电器,浙江永贵电器股份有限公司,电子电气组件与设备,84903,13638,16.10%,永贵电器(300351),浙江省天台县白鹤镇东园路5号（西工业区）,浙江省天台县白鹤镇东园路5号（西工业区）,www.yonggui.com,2012-9-20
浙江省,台州市,天台县,天铁股份,浙江天铁实业股份有限公司,通用化工品,20410,5710,28.00%,天铁股份(300587),浙江省天台县人民东路928号,浙江省天台县人民东路928号,www.tiantie.cn,2017-1-5
浙江省,台州市,天台县,圣达生物,浙江圣达生物药业股份有限公司,食品生产（III）,36961,5843,15.80%,圣达生物(603079),浙江省天台县赤城街道人民东路789号,浙江省天台县赤城街道人民东路789号,www.sd-pharm.com,2017-8-23
浙江省,台州市,天台县,天成自控,浙江天成自控股份有限公司,汽车零配件（IV）,50549,5648,11.20%,天成自控(603085),浙江省台州市天台县西工业区,浙江省台州市天台县西工业区,www.china-tc.com,2015-6-30
