省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,嘉兴市,秀洲区,民丰特纸,民丰特种纸股份有限公司,造纸,119918,1467,1.20%,民丰特纸(600235),浙江省嘉兴市?f里街70号,浙江省嘉兴市?f里街70号,www.minfenggroup.com,2000/6/15
浙江省,嘉兴市,秀洲区,嘉欣丝绸,浙江嘉欣丝绸股份有限公司,服装与服饰,207785,11281,5.40%,嘉欣丝绸(002404),浙江省嘉兴市中环西路588号,浙江省嘉兴市中环西路588号,www.jxsilk.cn,2010/5/11
浙江省,嘉兴市,秀洲区,台华新材,浙江台华新材料股份有限公司,服装与服饰,201813,32876,16.30%,台华新材(603055),浙江省嘉兴市秀洲区王店镇工业园区,浙江省嘉兴市秀洲区王店镇工业园区,www.textaihua.com,2017/9/21
浙江省,嘉兴市,桐乡市,双箭股份,浙江双箭橡胶股份有限公司,运输服务,82663,8158,9.90%,双箭股份(002381),浙江省桐乡市洲泉镇晚村,浙江省桐乡市洲泉镇晚村,www.doublearrow.net,2010/4/2
浙江省,嘉兴市,桐乡市,桐昆股份,桐昆集团股份有限公司,通用化工品,2330414,145701,6.30%,桐昆股份(601233),浙江省桐乡市洲泉镇德胜路1号12幢,浙江省桐乡市经济开发区光明路199号,www.zjtkgf.com,2011/5/18
浙江省,嘉兴市,桐乡市,新凤鸣,新凤鸣集团股份有限公司,通用化工品,1686507,119259,7.10%,新凤鸣(603225),浙江省桐乡市洲泉工业区德胜路888号,浙江省桐乡市洲泉工业区德胜路888号,www.xfmgroup.com,2017/4/18
浙江省,嘉兴市,桐乡市,华友钴业,浙江华友钴业股份有限公司,有色金属,614596,134450,21.90%,华友钴业(603799),浙江省桐乡经济开发区二期梧振东路18号,浙江省桐乡经济开发区二期梧振东路18号,www.huayou.com,2015/1/29
浙江省,嘉兴市,桐乡市,嘉澳环保,浙江嘉澳环保科技股份有限公司,化工品（II）,62522,3097,5.00%,嘉澳环保(603822),浙江省桐乡经济开发区,浙江省桐乡经济开发区,--,2016/4/28
浙江省,嘉兴市,桐乡市,新澳股份,浙江新澳纺织股份有限公司,服装与服饰,184013,20867,11.30%,新澳股份(603889),浙江省桐乡市崇福镇观庄桥,浙江省桐乡市崇福镇观庄桥,www.chinaxinaogroup.com,2014/12/31
浙江省,嘉兴市,平湖市,景兴纸业,浙江景兴纸业股份有限公司,造纸,391165,54889,14.00%,景兴纸业(002067),浙江省平湖市曹桥镇,浙江省平湖市曹桥镇,www.jxpaper.com.cn,2006/9/15
浙江省,嘉兴市,平湖市,嘉化能源,浙江嘉化能源化工股份有限公司,通用化工品,400878,82266,20.50%,嘉化能源(600273),浙江省嘉兴市乍浦滨海大道2288号,浙江省嘉兴港区乍浦经济开发区滨海大道2288号,www.jhec.com.cn,2003/6/27
浙江省,嘉兴市,平湖市,荣晟环保,浙江荣晟环保纸业股份有限公司,造纸,149026,31058,20.80%,荣晟环保(603165),浙江省平湖市经济开发区镇南东路588号,浙江省平湖市经济开发区镇南东路588号,www.rszy.com,2017/1/17
浙江省,嘉兴市,平湖市,莎普爱思,浙江莎普爱思药业股份有限公司,制药,70260,16952,24.10%,莎普爱思(603168),浙江省平湖市经济开发区新明路1588号,浙江省平湖市经济开发区新明路1588号,www.zjspas.com,2014/7/2
浙江省,嘉兴市,平湖市,合盛硅业,合盛硅业股份有限公司,通用化工品,492145,115550,23.50%,合盛硅业(603260),浙江省嘉兴市乍浦镇雅山西路530号,浙江省嘉兴市乍浦镇雅山西路530号,www.hoshinesilicon.com,2017/10/30
浙江省,嘉兴市,南湖区,闻泰科技,闻泰科技股份有限公司,通讯设备,1255857,33286,2.70%,闻泰科技(600745),湖北省黄石市团城山6号小区,浙江省嘉兴市南湖区亚中路777号,http://www.wingtech.com,1996/8/28
浙江省,嘉兴市,南湖区,卫星石化,浙江卫星石化股份有限公司,特种化工品,612485,76209,12.40%,卫星石化(002648),浙江省嘉兴市嘉兴工业园区步焦路,浙江省嘉兴市嘉兴工业园区步焦路,www.satlpec.com,2011/12/28
浙江省,嘉兴市,南湖区,博创科技,博创科技股份有限公司,通讯设备,25846,6470,25.00%,博创科技(300548),浙江省嘉兴市南湖区亚太路306号,浙江省嘉兴市凌公塘路1号207室,www.broadex-tech.com,2016/10/12
浙江省,嘉兴市,嘉善县,巴士在线,巴士在线股份有限公司,电子电气组件与设备,53640,6918,12.90%,巴士在线(002188),浙江省嘉善县经济开发区东升路36号,浙江省嘉善县经济开发区东升路36号,www.busonline.com,2007/11/22
浙江省,嘉兴市,嘉善县,浙江众成,浙江众成包装材料股份有限公司,特种化工品,46395,6332,13.60%,浙江众成(002522),浙江省嘉善县惠民街道泰山路1号,浙江省嘉善县惠民街道泰山路1号,www.zjzhongda.com,2010/12/10
浙江省,嘉兴市,嘉善县,田中精机,浙江田中精机股份有限公司,工业机械,36722,4608,12.50%,田中精机(300461),浙江省嘉善县姚庄镇新景路398号,浙江省嘉善县姚庄镇新景路398号,www.tanac.com.cn,2015/5/19
浙江省,嘉兴市,嘉善县,长盛轴承,浙江长盛滑动轴承股份有限公司,工业机械,41863,11066,26.40%,长盛轴承(300718),浙江省嘉善县惠民街道鑫达路6号,浙江省嘉善县惠民街道鑫达路6号,www.csb.com.cn,2017/11/6
浙江省,嘉兴市,嘉善县,晋亿实业,晋亿实业股份有限公司,工业机械,211124,21304,10.10%,晋亿实业(601002),浙江省嘉兴市嘉善经济开发区晋亿大道8号,浙江省嘉兴市嘉善经济开发区晋亿大道8号,www.GEM-YEAR.com,2007/1/26
浙江省,嘉兴市,海盐县,友邦吊顶,浙江友邦集成吊顶股份有限公司,建材与构件,45348,10263,22.60%,友邦吊顶(002718),浙江省嘉兴市海盐县百步工业区北A区,浙江省嘉兴市海盐县百步工业区北A区,www.chinayoubang.com,2014/1/28
浙江省,嘉兴市,海盐县,恒锋工具,恒锋工具股份有限公司,工业机械,23113,8977,38.80%,恒锋工具(300488),浙江省嘉兴市海盐县武原镇新桥北路239号,浙江省嘉兴市海盐县武原镇新桥北路239号,www.esttools.com,2015/7/1
浙江省,嘉兴市,海宁市,宏达高科,宏达高科控股股份有限公司,服装与服饰,46113,8058,17.50%,宏达高科(002144),浙江省海宁市许村镇建设路118号,浙江省海宁市许村镇建设路118号,www.zjhongda.com.cn,2007/8/3
浙江省,嘉兴市,海宁市,海利得,浙江海利得新材料股份有限公司,通用化工品,233203,27692,11.90%,海利得(002206),浙江省海宁市马桥镇经编园区内,浙江省海宁市马桥镇经编产业园区新民路18号,www.halead.com,2008/1/23
浙江省,嘉兴市,海宁市,海宁皮城,海宁中国皮革城股份有限公司,百货零售,124008,35312,28.50%,海宁皮城(002344),浙江省海宁市海州西路201号,浙江省海宁市海州西路201号,www.zgpgc.com,2010/1/26
浙江省,嘉兴市,海宁市,兄弟科技,兄弟科技股份有限公司,通用化工品,107895,30373,28.20%,兄弟科技(002562),浙江省海宁市周王庙镇联民村蔡家石桥3号,浙江省海宁市海洲街道学林街1号,www.brother.com.cn,2011/3/10
浙江省,嘉兴市,海宁市,浙江美大,浙江美大实业股份有限公司,耐用消费品,65510,20878,31.90%,浙江美大(002677),浙江省海宁市袁花镇谈桥81号(海宁市东西大道60KM),浙江省海宁市袁花镇谈桥81号(海宁市东西大道60KM),www.meida.com,2012/5/25
浙江省,嘉兴市,海宁市,天通股份,天通控股股份有限公司,电子电气组件与设备,156689,14014,8.90%,天通股份(600330),浙江省海宁市盐官镇建设路1号,浙江省海宁经济开发区双联路129号,www.tdgcore.com,2001/1/18
浙江省,嘉兴市,海宁市,钱江生化,浙江钱江生物化学股份有限公司,特种化工品,34414,4345,12.60%,钱江生化(600796),浙江省海宁市海洲街道钱江西路178号钱江大厦,浙江省海宁市海洲街道钱江西路178号钱江大厦,www.600796.com,1997/4/8
浙江省,嘉兴市,海宁市,晨丰科技,浙江晨丰科技股份有限公司,电子电气组件与设备,58120,10062,17.30%,晨丰科技(603685),浙江省海宁市盐官镇杏花路4号,浙江省海宁市盐官镇杏花路4号,www.cnlampholder.com,2017/11/27
浙江省,嘉兴市,海宁市,安正时尚,安正时尚集团股份有限公司,服装与服饰,99604,23599,23.70%,安正时尚(603839),浙江省海宁市海宁经济开发区谷水路298号,浙江省海宁市海宁经济开发区谷水路298号,www.anzhenggroup.com,2017/2/14
