省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,宁波市,北仑区,海伦钢琴,海伦钢琴股份有限公司,娱乐用品,33428,3116,9.30%,海伦钢琴(300329),浙江省宁波市北仑区龙潭山路36号,浙江省宁波市北仑区龙潭山路36号,www.hailunpiano.com,2012/6/19
浙江省,宁波市,北仑区,创源文化,宁波创源文化发展股份有限公司,造纸,50629,4294,8.50%,创源文化(300703),浙江省宁波市北仑区庐山西路45号,浙江省宁波市北仑区庐山西路45号,www.cre8direct.net,2017/9/19
浙江省,宁波市,北仑区,宁波联合,宁波联合集团股份有限公司,综合供应商,459592,25635,5.60%,宁波联合(600051),浙江省宁波经济技术开发区东海路1号联合大厦,浙江省宁波开发区东海路1号联合大厦,www.nug.com.cn,1997/4/10
浙江省,宁波市,北仑区,宁波港,宁波港股份有限公司,运输服务,1300244,306855,23.60%,宁波港(601018),浙江省宁波市江东区宁东路269号宁波环球航运广场第1-4层（除2-2）、第40-46层,浙江省宁波市北仑区明州路301号宁波港大厦,www.nbport.com.cn,2010/9/28
浙江省,宁波市,北仑区,拓普集团,宁波拓普集团股份有限公司,汽车零配件（IV）,354037,58471,16.50%,拓普集团(601689),浙江省宁波市北仑区黄山西路215号,浙江省宁波市北仑区黄山西路215号,www.tuopu.com,2015/3/19
浙江省,宁波市,北仑区,海天精工,宁波海天精工股份有限公司,工业机械,92272,7532,8.20%,海天精工(601882),浙江省宁波市北仑区黄山西路235号,浙江省宁波市北仑区黄山西路235号,www.hision.com.cn,2016/11/7
浙江省,宁波市,北仑区,弘讯科技,宁波弘讯科技股份有限公司,电子电气组件与设备,55466,6044,10.90%,弘讯科技(603015),浙江省宁波市北仑区大港五路88号,浙江省宁波市北仑区大港五路88号,www.techmation.com.cn,2015/3/3
浙江省,宁波市,北仑区,旭升股份,宁波旭升汽车技术股份有限公司,汽车零配件（IV）,53789,18423,34.30%,旭升股份(603305),浙江省宁波市北仑区沿山河北路68号,浙江省宁波市北仑区沿山河北路68号,www.nbxus.com,2017/7/10
浙江省,宁波市,北仑区,东方电缆,宁波东方电缆股份有限公司,电子电气组件与设备,159908,4202,2.60%,东方电缆(603606),浙江省宁波市北仑区江南东路968号,浙江省宁波市北仑区江南东路968号,www.orientcable.com,2014/10/15
浙江省,宁波市,北仑区,继峰股份,宁波继峰汽车零部件股份有限公司,汽车零配件（IV）,131174,26392,20.10%,继峰股份(603997),浙江省宁波市北仑区大?\璎珞河路17号,浙江省宁波市北仑区大?\璎珞河路17号,www.nb-jf.com,2015/3/2
