省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,宁波市,海曙区,荣安地产,荣安地产股份有限公司,不动产投资开发,388978,59984,15.40%,荣安地产(000517),,浙江省宁波市海曙区灵桥路513号(14-12),浙江省宁波市海曙区灵桥路513号天封大厦11楼、15楼、16楼,www.rongan.com.cn,1993-8-6
浙江省,宁波市,海曙区,广博股份,广博集团股份有限公司,造纸,165935,9112,5.50%,广博股份(002103),,浙江省宁波市海曙区石?\街道车何,宁波市海曙区石?\街道车何,www.guangbo.net,2007-1-10
浙江省,宁波市,海曙区,维科精华,宁波维科精华集团股份有限公司,电子电气组件与设备,112806,3319,2.90%,维科精华(600152),,浙江省宁波市和义路99号,浙江省宁波市柳汀街225号月湖金贸大厦20楼,www.vekenelite.com,1998-6-9
浙江省,宁波市,海曙区,雅戈尔,雅戈尔集团股份有限公司,不动产投资开发,738285,297035,40.20%,雅戈尔(600177),,浙江省宁波市海曙区鄞县大道西段2号,浙江省宁波市海曙区鄞县大道西段2号,www.youngor.com,1998-11-19
浙江省,宁波市,海曙区,宁波富达,宁波富达股份有限公司,不动产投资开发,238630,29748,12.50%,宁波富达(600724),,浙江省余姚市阳明西路355号,浙江省宁波市海曙区解放南路208号建设大厦18-19楼,www.fuda.com,1996-7-16
浙江省,宁波市,海曙区,香溢融通,香溢融通控股集团股份有限公司,不动产投资开发,70118,7388,10.50%,香溢融通(600830),,浙江省宁波市西河街158号,浙江省宁波市西河街158号,www.sunnyloantop.cn,1994-2-24
浙江省,宁波市,海曙区,宁波中百,宁波中百股份有限公司,百货零售,69084,3511,5.10%,宁波中百(600857),,浙江省宁波市海曙区和义路77号21层,浙江省宁波市海曙区和义路77号汇金大厦21层,www.hitsc.com,1994-4-25
浙江省,宁波市,海曙区,三江购物,三江购物俱乐部股份有限公司,百货零售,286362,10641,3.70%,三江购物(601116),,浙江省宁波市大榭开发区邻里中心,浙江省宁波市海曙区环城西路北段197号,www.sanjiang.com,2011-3-2
浙江省,宁波市,海曙区,君禾股份,君禾泵业股份有限公司,电子电气组件与设备,42997,4617,10.70%,君禾股份(603617),,浙江省宁波市海曙区集士港镇万众村,浙江省宁波市海曙区集士港镇万众村,www.junhepumps.com,2017-7-3
浙江省,宁波市,海曙区,太平鸟,宁波太平鸟时尚服饰股份有限公司,服装与服饰,431280,20768,4.80%,太平鸟(603877),,浙江省宁波市海曙环城西路南段826号,浙江省宁波市海曙环城西路南段826号,www.peacebird.com,2017-1-9
