省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,宁波市,鄞州区,三星医疗,宁波三星医疗电气股份有限公司,工业机械,346914,50026,14.40%,三星医疗(601567),浙江省宁波市鄞州工业园区（宁波市鄞州区姜山镇）,浙江省宁波市鄞州工业园区（宁波市鄞州区姜山镇）,www.sanxing.com,2011-6-15
浙江省,宁波市,鄞州区,康强电子,宁波康强电子股份有限公司,半导体,93696,7971,8.50%,康强电子(002119),浙江省宁波市鄞州投资创业中心金源路988号,浙江省宁波市鄞州投资创业中心金源路988号,www.kangqiang.com,2007-3-2
浙江省,宁波市,鄞州区,宁波银行,宁波银行股份有限公司,银行业（IV）,1857479,835073,45.00%,宁波银行(002142),浙江省宁波市鄞州区宁东路345号,浙江省宁波市鄞州区宁南南路700号,www.nbcb.com.cn,2007-7-19
浙江省,宁波市,鄞州区,先锋新材,宁波先锋新材料股份有限公司,通用化工品,51435,-374,-0.70%,先锋新材(300163),浙江省宁波市海曙区集士港镇山下庄村,浙江省宁波市鄞州区集士港镇山下庄村,www.aplus.cn;www.chinacurtains.com,2011-1-13
浙江省,宁波市,鄞州区,美康生物,美康生物科技股份有限公司,制药,118863,20343,17.10%,美康生物(300439),浙江省宁波市鄞州区启明南路299号,浙江省宁波市鄞州区启明南路299号,www.nbmedicalsystem.com,2015-4-22
浙江省,宁波市,鄞州区,华瑞股份,华瑞电器股份有限公司,电子电气组件与设备,60057,5288,8.80%,华瑞股份(300626),浙江省宁波市鄞州区姜山镇科技园区,浙江省宁波市鄞州区姜山镇科技园区,www.china-commutator.com,2017-3-20
浙江省,宁波市,鄞州区,乐歌股份,乐歌人体工学科技股份有限公司,家具,53189,4470,8.40%,乐歌股份(300729),浙江省宁波市鄞州经济开发区启航南路588号（鄞州区瞻岐镇）,浙江省宁波市鄞州经济开发区启航南路588号（鄞州区瞻岐镇）,www.loctek.com,2017-12-1
浙江省,宁波市,鄞州区,东睦股份,东睦新材料集团股份有限公司,有色金属,129745,22766,17.50%,东睦股份(600114),浙江省宁波市鄞州工业园区（姜山）景江路8号,浙江省宁波市鄞州工业园区（姜山）景江路8号,www.pm-china.com,2004-5-11
浙江省,宁波市,鄞州区,宁波韵升,宁波韵升股份有限公司,工业机械,135249,30966,22.90%,宁波韵升(600366),浙江省宁波市江东民安路348号,浙江省宁波市国家高新区扬帆路1号,www.yunsheng.com,2000-10-30
浙江省,宁波市,鄞州区,宁波富邦,宁波富邦精业集团股份有限公司,铝业,59047,-2031,-3.40%,宁波富邦(600768),浙江省宁波市镇海骆驼机电工业园区,浙江省宁波市鄞州区天童北路702号工业城办公大楼三楼,www.600768.com.cn,1996-11-11
浙江省,宁波市,鄞州区,杉杉股份,宁波杉杉股份有限公司,电子电气组件与设备,664368,53125,8.00%,杉杉股份(600884),浙江省宁波市鄞州区日丽中路777号杉杉大厦808室,浙江省宁波市望春工业园区云林中路218号,www.ssgf.net,1996-1-30
浙江省,宁波市,鄞州区,博威合金,宁波博威合金材料股份有限公司,有色金属,421796,23867,5.70%,博威合金(601137),浙江省宁波市鄞州区云龙镇太平桥,浙江省宁波市鄞州区鄞州大道东段1777号博威大厦11楼,www.pwalloy.com,2011-1-27
浙江省,宁波市,鄞州区,百隆东方,百隆东方股份有限公司,服装与服饰,456503,40509,8.90%,百隆东方(601339),浙江省宁波市镇海区骆驼街道南二东路1号,浙江省宁波市鄞州区甬江大道188号宁波财富中心8楼,www.broseastern.com,2012-6-12
浙江省,宁波市,鄞州区,圣龙股份,宁波圣龙汽车动力系统股份有限公司,汽车与零配件（II）,108789,6354,5.80%,圣龙股份(603178),浙江省宁波市鄞州区工业园区金达路788号,浙江省宁波市鄞州区工业园区金达路788号,slpt.sheng-long.com,2017-3-28
浙江省,宁波市,鄞州区,日月股份,日月重工股份有限公司,工业机械,133196,20231,15.20%,日月股份(603218),浙江省宁波市鄞州区东吴镇北村村,浙江省宁波市鄞州区东吴镇北村村,www.riyuehi.com,2016-12-28
浙江省,宁波市,鄞州区,宁波高发,宁波高发汽车控制系统股份有限公司,汽车,85974,18519,21.50%,宁波高发(603788),浙江省宁波市鄞州投资创业中心（下应北路717号）,浙江省宁波市鄞州投资创业中心（下应北路717号）,www.gaofacable.com,2015-1-20
