省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,杭州市,拱墅区,莱茵体育,莱茵达体育发展股份有限公司,不动产投资开发,122821,2197,1.80%,莱茵体育(000558),浙江省杭州市文三路535号莱茵达大厦,浙江省杭州市文三路535号莱茵达大厦20楼,www.lander.com.cn,1994-5-9
浙江省,杭州市,拱墅区,华东医药,华东医药股份有限公司,药品零售,2145087,191756,8.90%,华东医药(000963),浙江省杭州市延安路468号1号楼1号门9、10楼,浙江省杭州市莫干山路866号（祥符桥）,www.eastchinapharm.com,2000-1-27
浙江省,杭州市,拱墅区,生意宝,浙江网盛生意宝股份有限公司,互联网,26374,2812,10.70%,生意宝(002095),浙江省杭州市莫干山路187号易盛大厦12F,浙江省杭州市莫干山路187号易盛大厦12F,www.chinanetsun.com,2006-12-15
浙江省,杭州市,拱墅区,天马股份,天马轴承集团股份有限公司,工业机械,189113,8695,4.60%,天马股份(002122),浙江省杭州市拱墅区石祥路202号,浙江省杭州市拱墅区石祥路202号,www.zjtmb.com,2007-3-28
浙江省,杭州市,拱墅区,威星智能,浙江威星智能仪表股份有限公司,燃气供应,31887,2742,8.60%,威星智能(002849),浙江省杭州市拱墅区莫干山路1418-41号6号楼（上城科技工业基地）,浙江省杭州市拱墅区莫干山路1418-41号6号楼,www.viewshine.cn,2017-2-17
浙江省,杭州市,拱墅区,思创医惠,思创医惠科技股份有限公司,电子设备,73700,10686,14.50%,思创医惠(300078),浙江省杭州市莫干山路1418-25号(上城科技经济园),浙江省杭州市莫干山路1418-48号,www.century-cn.com,2010-4-30
浙江省,杭州市,拱墅区,创业软件,创业软件股份有限公司,计算机服务,75924,8225,10.80%,创业软件(300451),浙江省杭州市滨江区长河街道越达巷92号创业智慧大厦五楼,浙江省杭州市文三路199号创业大厦三楼,www.bsoft.com.cn,2015-5-14
浙江省,杭州市,拱墅区,中亚股份,杭州中亚机械股份有限公司,工业机械,50375,16436,32.60%,中亚股份(300512),浙江省杭州市拱墅区方家埭路189号,浙江省杭州市拱墅区方家埭路189号,www.zhongyagroup.com/,2016-5-26
浙江省,杭州市,拱墅区,杭钢股份,杭州钢铁股份有限公司,钢铁,2045431,116846,5.70%,杭钢股份(600126),浙江省杭州市拱墅区半山路178号,浙江省杭州市拱墅区半山路178号,www.hzsteel.com,1998-3-11
浙江省,杭州市,拱墅区,美都能源,美都能源股份有限公司,不动产投资开发,498637,1864,0.40%,美都能源(600175),浙江省德清县武康镇德清大道299号2601室、2602室,浙江省杭州市密渡桥路70号美都恒升名楼4楼,www.chinameidu.com,1999-4-8
浙江省,杭州市,拱墅区,祥源文化,浙江祥源文化股份有限公司,广播与娱乐,57822,8140,14.10%,祥源文化(600576),浙江省杭州市密渡桥路1号白马大厦12楼,浙江省杭州市密渡桥路1号白马大厦12楼,www.cnwhwh.cn,2003-2-20
浙江省,杭州市,拱墅区,海兴电力,杭州海兴电力科技股份有限公司,电力（III）,206053,46271,22.50%,海兴电力(603556),浙江省杭州市莫干山路1418号（上城工业园区）,浙江省杭州市莫干山路1418号（上城工业园区）,www.hxgroup.co,2016-11-10
