省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,杭州市,滨江区,金圆股份,金圆水泥股份有限公司,建材与构件,282013,34669,12.30%,金圆股份(000546),,吉林省长春市净月开发区中信城枫丹白露一期3栋906室,浙江省杭州市滨江区江虹路1750号润和信雅达创意中心1号楼22楼,--,1993-12-15
浙江省,杭州市,滨江区,天夏智慧,天夏智慧城市科技股份有限公司,软件与计算机服务,44889,21817,48.60%,天夏智慧(000662),,广西壮族自治区梧州市新兴二路137号,浙江省杭州市滨江区六和路368号1幢北四楼A4068室,www.txgis.com,1996-12-16
浙江省,杭州市,滨江区,华数传媒,华数传媒控股股份有限公司,广播与娱乐,225244,46794,20.80%,华数传媒(000156),,浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,浙江省杭州市滨江区长江路79号华数白马湖数字电视产业园B座,--,2000-9-6
浙江省,杭州市,滨江区,英特集团,浙江英特集团股份有限公司,药品零售,1393504,19812,1.40%,英特集团(000411),,浙江省杭州市下城区东新路江南巷2号3幢,浙江省杭州市滨江区江南大道96号?中化大厦,www.intmedic.com,1996-7-16
浙江省,杭州市,滨江区,众合科技,浙江众合科技股份有限公司,工业机械,102146,4519,4.40%,众合科技(000925),,浙江省杭州市滨江区江汉路1785号双城国际4号楼17层,浙江省杭州市滨江区江汉路1785号双城国际4号楼17层,www.unitedmne.com,1999-6-11
浙江省,杭州市,滨江区,盾安环境,浙江盾安人工环境股份有限公司,工业机械,587441,5543,0.90%,盾安环境(002011),,中国浙江省诸暨市店口工业区,浙江省杭州市滨江区滨安路1190号智汇领地科技园B座,www.dunan.net,2004-7-5
浙江省,杭州市,滨江区,苏泊尔,浙江苏泊尔炊具股份有限公司,耐用消费品,1049664,107961,10.30%,苏泊尔(002032),,浙江省玉环县大麦屿经济开发区,浙江省杭州市高新技术产业区江晖路1772号苏泊尔大厦19楼,www.supor.com.cn,2004-8-17
浙江省,杭州市,滨江区,三维通信,三维通信股份有限公司,通讯设备,72739,1978,2.70%,三维通信(002115),,浙江省杭州市滨江区火炬大道581号,浙江省杭州市滨江区火炬大道581号,www.sunwave.com.cn,2007-2-15
浙江省,杭州市,滨江区,大立科技,浙江大立科技股份有限公司,电子设备,22899,1214,5.30%,大立科技(002214),,浙江省杭州市滨江区滨康路639号,浙江省杭州市高新技术开发区（滨江）滨康路639号,www.dali-tech.com,2008-2-18
浙江省,杭州市,滨江区,大华股份,浙江大华技术股份有限公司,电子设备,1172329,154708,13.20%,大华股份(002236),,浙江省杭州市滨江区滨安路1187号,浙江省杭州市滨江区滨安路1199号,www.dahuatech.com,2008-5-20
浙江省,杭州市,滨江区,联络互动,杭州联络互动信息科技股份有限公司,软件,781760,7464,1.00%,联络互动(002280),,浙江省杭州市滨江区物联网街451号芯图大厦18层,浙江省杭州市滨江区物联网街451号芯图大厦18层,www.lianluo.com,2009-8-21
浙江省,杭州市,滨江区,海康威视,杭州海康威视数字技术股份有限公司,电子设备,2772974,668415,24.10%,海康威视(002415),,浙江省杭州市滨江区阡陌路555号,浙江省杭州市滨江区阡陌路555号,www.hikvision.com,2010-5-28
浙江省,杭州市,滨江区,贝因美,贝因美婴童食品股份有限公司,食品生产（IV）,200701,-35767,-17.80%,贝因美(002570),,浙江省杭州市滨江区南环路3758号,浙江省杭州市滨江区南环路3758号,www.beingmate.com,2011-4-12
浙江省,杭州市,滨江区,先锋电子,杭州先锋电子技术股份有限公司,工业机械,21847,2374,10.90%,先锋电子(002767),,浙江省杭州市滨江区滨安路1186-1号,浙江省杭州市滨江区滨安路1186-1号,www.innover.com.cn,2015-6-12
浙江省,杭州市,滨江区,华星创业,杭州华星创业通信技术股份有限公司,移动通信服务,93842,4548,4.80%,华星创业(300025),,浙江省杭州市滨江区长河街道聚才路500号,浙江省杭州市滨江区聚才路500号,www.hxcy.com.cn,2009-10-30
浙江省,杭州市,滨江区,聚光科技,聚光科技(杭州)股份有限公司,电子设备,166265,35168,21.20%,聚光科技(300203),,浙江省杭州市滨江区滨安路760号,浙江省杭州市滨江区阡陌路459号,www.fpi-inc.com,2011-4-15
浙江省,杭州市,滨江区,开尔新材,浙江开尔新材料股份有限公司,建材与构件,23147,140,0.60%,开尔新材(300234),,浙江省金华市金义都市经济开发区广顺街333号,浙江省杭州市滨江区长河街道江虹路1750号润和信雅达国际创意中心A座30层,www.zjke.com,2011-6-22
浙江省,杭州市,滨江区,初灵信息,杭州初灵信息技术股份有限公司,通讯设备,24582,4596,18.70%,初灵信息(300250),,浙江省杭州市滨江区浦沿街道伟业路1号5幢,浙江省杭州市滨江区浦沿街道伟业路1号5幢,www.cncr-it.com,2011-8-3
