省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,杭州市,江干区,滨江集团,杭州滨江房产集团股份有限公司,不动产投资开发,649326,180983,27.90%,滨江集团(002244),浙江省杭州市庆春东路38号,浙江省杭州市庆春东路38号,www.binjiang.com.cn,2008/5/29
浙江省,杭州市,江干区,巨星科技,杭州巨星科技股份有限公司,耐用消费品,310217,56398,18.20%,巨星科技(002444),浙江省杭州市江干区九环路35号,浙江省杭州市江干区九环路35号,www.greatstartools.com,2010/7/13
浙江省,杭州市,江干区,杭锅股份,杭州锅炉集团股份有限公司,工业机械,270560,39154,14.50%,杭锅股份(002534),浙江省杭州市江干区大农港路1216号,浙江省杭州市江干区大农港路1216号,www.chinaboilers.com,2011/1/10
浙江省,杭州市,江干区,宋城演艺,宋城演艺发展股份有限公司,广播与娱乐,231433,113855,49.20%,宋城演艺(300144),浙江省杭州市之江路148号,浙江省杭州市之江路148号,www.chinascgf.com,2010/12/9
浙江省,杭州市,江干区,金卡智能,金卡智能集团股份有限公司,工业机械,96995,20301,20.90%,金卡智能(300349),浙江省温州市乐清经济开发区纬十七路291号,浙江省杭州经济技术开发区金乔街158号,www.china-goldcard.com,2012/8/17
浙江省,杭州市,江干区,宋都股份,宋都基业投资股份有限公司,不动产投资开发,97077,3716,3.80%,宋都股份(600077),浙江省杭州市富春路789号宋都大厦506室,浙江省杭州市富春路789号宋都大厦五楼,www.songdu.com,1997/5/20
浙江省,杭州市,江干区,百大集团,百大集团股份有限公司,百货零售,67269,7934,11.80%,百大集团(600865),浙江省杭州市延安路546号,浙江省杭州市庆春东路1-1号西子联合大厦18楼,www.baidagroup.com,1994/8/9
浙江省,杭州市,江干区,泰瑞机器,泰瑞机器股份有限公司,电子与电气设备,50943,7209,14.20%,泰瑞机器(603289),浙江省杭州市杭州经济技术开发区下沙街道文泽北路245号,浙江省杭州市杭州经济技术开发区下沙街道文泽北路245号,www.tederic-cn.com,2017/10/31
浙江省,杭州市,江干区,华铁科技,浙江华铁建筑安全科技股份有限公司,建筑施工,50398,16963,33.70%,华铁科技(603300),浙江省杭州市江干区九盛路9号A05幢4层,浙江省杭州市江干区九盛路9号A05幢4层,www.zjhuatie.cn,2015/5/29
浙江省,杭州市,江干区,诚邦股份,浙江诚邦园林股份有限公司,建筑施工,51963,5127,9.90%,诚邦股份(603316),浙江省杭州市之江路599号,浙江省杭州市之江路599号,www.cbylgf.com,2017/6/19
浙江省,杭州市,江干区,元成股份,浙江元成园林集团股份有限公司,林业,50937,6351,12.50%,元成股份(603388),浙江省杭州市江干区采荷嘉业大厦5号楼5楼501室,浙江省杭州市庆春东路2-6号第15层,www.ycyuanlin.com,2017/3/24
浙江省,杭州市,江干区,杭电股份,杭州电缆股份有限公司,电子电气组件与设备,296173,13249,4.50%,杭电股份(603618),浙江省杭州经济技术开发区6号大街68-1,浙江省杭州经济技术开发区6号大街68-1,www.hzcables.com,2015/2/17
浙江省,杭州市,江干区,顾家家居,顾家家居股份有限公司,家具,484798,59994,12.40%,顾家家居(603816),浙江省杭州经济技术开发区11号大街113号,浙江省杭州经济技术开发区11号大街113号,www.kukahome.com,2016/10/14
浙江省,杭州市,江干区,杭汽轮B(200771),,{d1},{d2},#VALUE!,杭汽轮B(200771),浙江省杭州市石桥路357号,浙江省杭州市石桥路357号,,,
