省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,杭州市,萧山区,恒逸石化,恒逸石化股份有限公司,通用化工品,4708993,163113,3.50%,恒逸石化(000703),广西壮族自治区北海市北海大道西16号海富大厦第七层G号,浙江省杭州市萧山区市心北路260号恒逸?南岸明珠3栋24楼,www.hengyishihua.com,1997-3-28
浙江省,杭州市,萧山区,万向钱潮,万向钱潮股份有限公司,汽车零配件（IV）,804648,70403,8.70%,万向钱潮(000559),浙江省杭州市萧山区万向路,浙江省杭州市萧山经济技术开发区万向路,www.wxqc.com.cn,1994-1-10
浙江省,杭州市,萧山区,传化智联,传化智联股份有限公司,特种化工品,1199543,22822,1.90%,传化智联(002010),浙江省杭州市萧山经济技术开发区,浙江省杭州市萧山区民和路945号传化大厦16F,www.transfarchem.com,2004-6-29
浙江省,杭州市,萧山区,东南网架,浙江东南网架股份有限公司,建筑施工,537343,8912,1.70%,东南网架(002135),浙江省杭州市萧山区衙前镇,浙江省杭州市萧山区衙前镇,www.dongnanwangjia.com,2007-5-30
浙江省,杭州市,萧山区,亚太股份,浙江亚太机电股份有限公司,汽车零配件（IV）,276733,9762,3.50%,亚太股份(002284),浙江省杭州市萧山区蜀山街道亚太路1399号,浙江省杭州市萧山区蜀山街道亚太路1399号,www.apg.cn,2009-8-28
浙江省,杭州市,萧山区,荣盛石化,荣盛石化股份有限公司,通用化工品,5236280,172634,3.30%,荣盛石化(002493),浙江省杭州市萧山区益农镇红阳路98号,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼,www.cnrspc.com,2010-11-2
浙江省,杭州市,萧山区,金科文化,浙江金科文化产业股份有限公司,通用化工品,118579,31447,26.50%,金科文化(300459),浙江省杭州湾上虞经济技术开发区,浙江省杭州市萧山区钱江世纪城平澜路299号浙江商会大厦36层,www.jinkeculture.com,2015-5-15
浙江省,杭州市,萧山区,雷迪克,杭州雷迪克节能科技股份有限公司,汽车零配件（IV）,34569,6204,17.90%,雷迪克(300652),浙江省杭州萧山经济技术开发区桥南区块春潮路89号,浙江省杭州萧山经济技术开发区桥南区块春潮路89号,www.radical.cn,2017-5-16
浙江省,杭州市,萧山区,兆丰股份,浙江兆丰机电股份有限公司,汽车零配件（IV）,46228,16198,35.00%,兆丰股份(300695),浙江省杭州市萧山经济技术开发区桥南区块兆丰路6号,浙江省杭州市萧山经济技术开发区桥南区块兆丰路6号,www.hzfb.com,2017-9-8
浙江省,杭州市,萧山区,万隆光电,杭州万隆光电设备股份有限公司,通讯设备,33575,4580,13.60%,万隆光电(300710),浙江省杭州市萧山区瓜沥友谊村,浙江省杭州市萧山区瓜沥友谊村,www.prevail-catv.com,2017-10-19
浙江省,杭州市,萧山区,杭萧钢构,杭萧钢构股份有限公司,建材与构件,319043,62926,19.70%,杭萧钢构(600477),浙江省杭州市萧山经济技术开发区,浙江省杭州市萧山经济技术开发区红垦农场,www.hxss.com.cn,2003-11-10
浙江省,杭州市,萧山区,航民股份,浙江航民股份有限公司,服装与服饰,253224,53495,21.10%,航民股份(600987),浙江省杭州市萧山区瓜沥镇航民村,浙江省杭州市萧山区瓜沥镇航民村,www.hmgf.com,2004-8-9
浙江省,杭州市,萧山区,杭齿前进,杭州前进齿轮箱集团股份有限公司,工业机械,117528,1662,1.40%,杭齿前进(601177),浙江省杭州市萧山区萧金路45号,浙江省杭州市萧山区萧金路45号,www.chinaadvance.com,2010-10-11
浙江省,杭州市,萧山区,健盛集团,浙江健盛集团股份有限公司,服装与服饰,76090,9929,13.00%,健盛集团(603558),浙江省杭州市萧山经济开发区金一路111号,浙江省杭州市萧山经济开发区金一路111号,www.jasangroup.com,2015-1-27
浙江省,杭州市,萧山区,百合花,百合花集团股份有限公司,通用化工品,108708,10642,9.80%,百合花(603823),浙江省杭州市萧山区临江工业园区农一场,浙江省杭州市萧山区临江工业园区农一场,www.lilygroup.cn,2016-12-20
浙江省,杭州市,萧山区,吉华集团,浙江吉华集团股份有限公司,化工品（II）,191323,37219,19.50%,吉华集团(603980),浙江省杭州市萧山区临江工业园新世纪大道1766号,浙江省杭州市萧山区临江工业园新世纪大道1766号,www.jihuadyes.com,2017-6-15
