省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,杭州市,西湖区,上峰水泥,甘肃上峰水泥股份有限公司,建材与构件,293943,59285,20.20%,上峰水泥(000672),甘肃省白银市白银区五一街8号,浙江省杭州市西湖区文二西路738号西溪乐谷创意产业园1幢E单元,www.sfsn.cn,1996-12-18
浙江省,杭州市,西湖区,数源科技,数源科技股份有限公司,通讯设备,150359,7601,5.10%,数源科技(000909),浙江省杭州西湖区教工路一号,浙江省杭州市西湖区教工路一号,www.soyea.com.cn,1999-5-7
浙江省,杭州市,西湖区,亚厦股份,浙江亚厦装饰股份有限公司,建筑施工,623984,35912,5.80%,亚厦股份(002375),浙江省上虞市章镇工业新区,浙江省杭州市西湖区沙秀路99号亚厦中心A座,www.chinayasha.com,2010-3-23
浙江省,杭州市,西湖区,双环传动,浙江双环传动机械股份有限公司,工业机械,183995,21392,11.60%,双环传动(002472),浙江省玉环县机电产业功能区盛园路1号,浙江省杭州市西湖区古墩路702号赞宇大厦12楼,www.gearsnet.com,2010-9-10
浙江省,杭州市,西湖区,赞宇科技,浙江赞宇科技股份有限公司,特种化工品,528279,6630,1.30%,赞宇科技(002637),浙江省杭州市城头巷128号,浙江省杭州市西湖区古墩路702号,www.zzytech.com,2011-11-25
浙江省,杭州市,西湖区,银江股份,银江股份有限公司,计算机服务,130056,13877,10.70%,银江股份(300020),浙江省杭州市益乐路223号1幢1层,浙江省杭州市西湖区西湖经济科技园西园八路2号,www.enjoyor.net,2009-10-30
浙江省,杭州市,西湖区,南都电源,浙江南都电源动力股份有限公司,电子电气组件与设备,635361,29054,4.60%,南都电源(300068),浙江省临安市青山湖街道景观大道72号,浙江省杭州市紫荆花路50号A座9楼,www.naradapower.com,2010-4-21
浙江省,杭州市,西湖区,顺网科技,杭州顺网科技股份有限公司,计算机服务,119223,49191,41.30%,顺网科技(300113),浙江省杭州市西湖区文一西路75号3号楼,浙江省杭州市西湖区文一西路857号杭州智慧产业创业园A座,www.shunwang.com,2010-8-27
浙江省,杭州市,西湖区,华策影视,浙江华策影视股份有限公司,广播与娱乐,249732,35496,14.20%,华策影视(300133),浙江省杭州市文二西路683号西溪创意产业园C-C座,浙江省杭州市西湖区文二西路683号西溪创意产业园C-C座,www.huacemedia.com,2010-10-26
浙江省,杭州市,西湖区,迪安诊断,浙江迪安诊断技术股份有限公司,医疗保健服务,367553,43295,11.80%,迪安诊断(300244),浙江省杭州市西湖区金蓬街329号2幢5层,浙江省杭州市西湖科技园金蓬街329号,www.dazd.cn,2011-7-19
