省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,温州市,永嘉县,报喜鸟,报喜鸟控股股份有限公司,服装与服饰,168440,-450,-0.30%,报喜鸟(002154),浙江省永嘉县瓯北镇报喜鸟工业区,浙江省永嘉县瓯北镇报喜鸟工业区,www.bxn.com,2007-8-16
浙江省,温州市,永嘉县,迦南科技,浙江迦南科技股份有限公司,工业机械,27912,4197,15.00%,迦南科技(300412),浙江省温州市永嘉县东瓯工业园区,浙江省永嘉县瓯北镇东瓯工业园区,www.china-jianan.com/cn/,2014-12-31
浙江省,温州市,永嘉县,奥康国际,浙江奥康鞋业股份有限公司,鞋类,227299,22498,9.90%,奥康国际(603001),浙江省永嘉县瓯北镇东瓯工业区奥康工业园,浙江省永嘉县瓯北镇千石工业区奥康工业园,www.aokang.com,2012-4-26
浙江省,温州市,永嘉县,红蜻蜓,江红蜻蜓鞋业股份有限公司,鞋类,227836,29249,12.80%,红蜻蜓(603116),浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路,浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路,www.cnhqt.com,2015-6-29
浙江省,温州市,瑞安市,华峰氨纶,浙江华峰氨纶股份有限公司,通用化工品,303437,32959,10.90%,华峰氨纶(002064),浙江省瑞安市莘塍工业园区,浙江省瑞安经济开发区开发区大道1788号,www.spandex.com.cn,2006-8-23
浙江省,温州市,平阳县,乔治白,浙江乔治白服饰股份有限公司,服装与服饰,54535,5895,10.80%,乔治白(002687),浙江省平阳县昆阳镇平瑞公路588号,浙江省平阳县昆阳镇平瑞公路588号及昆阳镇乔治白休闲服饰生产基地,www.giuseppe.cn,2012-7-13
浙江省,温州市,平阳县,佩蒂股份,佩蒂动物营养科技股份有限公司,农业与渔业,42321,7181,17.00%,佩蒂股份(300673),浙江省平阳县水头镇工业园区宠乐路2号,浙江省平阳县水头镇工业园区宠乐路2号,www.peidibrand.com,2017-7-11
浙江省,温州市,鹿城区,浙江东日,浙江东日股份有限公司,商业辅助服务,24447,9808,40.10%,浙江东日(600113),浙江省温州市矮凳桥92号,浙江省温州市矮凳桥92号,www.dongri.com,1997-10-21
浙江省,温州市,鹿城区,伟明环保,浙江伟明环保股份有限公司,废物处理与回收服务,72244,42753,59.20%,伟明环保(603568),浙江省温州市瓯海开发区梧慈路517号,浙江省温州市市府路525号同人恒玖大厦16楼,www.cnweiming.com,2015-5-28
浙江省,温州市,龙湾区,温州宏丰,温州宏丰电工合金股份有限公司,电子电气组件与设备,72517,196,0.30%,温州宏丰(300283),浙江省乐清市北白象镇大桥工业区塘下片区,浙江省温州瓯江口产业集聚区瓯锦大道5600号,www.wzhf.com,2012-1-10
浙江省,温州市,乐清市,电光科技,电光防爆科技股份有限公司,工业机械,50683,4576,9.00%,电光科技(002730),浙江省乐清经济开发区纬五路180号,浙江省乐清经济开发区纬五路180号,www.dianguang.com,2014-10-9
浙江省,温州市,乐清市,意华股份,温州意华接插件股份有限公司,通讯设备,87789,10140,11.60%,意华股份(002897),浙江省乐清市翁??镇后西工业区,浙江省乐清市翁??镇后西工业区,www.czt.cn,2017-9-7
浙江省,温州市,乐清市,金龙机电,金龙机电股份有限公司,电子电气组件与设备,249432,35579,14.30%,金龙机电(300032),浙江省乐清市北白象镇进港大道边金龙科技园,浙江省温州市乐清市北白象镇进港大道边金龙科技园,www.kotl.com.cn,2009-12-25
浙江省,温州市,乐清市,华仪电气,华仪电气股份有限公司,电子电气组件与设备,122319,6005,4.90%,华仪电气(600290),浙江省乐清经济开发区中心大道228号,浙江省乐清经济开发区中心大道228号,www.heag.com,2000-11-6
浙江省,温州市,乐清市,正泰电器,浙江正泰电器股份有限公司,电子电气组件与设备,1593659,232149,14.60%,正泰电器(601877),浙江省乐清市北白象镇正泰工业园区正泰路1号,浙江省乐清市北白象镇正泰工业园区正泰路1号,www.chint.net,2010-1-21
浙江省,温州市,洞头区,诚意药业,浙江诚意药业股份有限公司,制药,22678,5176,22.80%,诚意药业(603811),浙江省温州市洞头区化工路118号,浙江省温州市洞头区化工路118号,www.chengyipharma.com,2017-3-15
