省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,湖州市,吴兴区,美欣达,浙江美欣达印染集团股份有限公司,服装与服饰,56361,1035,1.80%,美欣达(002034),,浙江省湖州市天子圩路288号,浙江省湖州市美欣达路588号,www.mizuda.net,2004-8-26
浙江省,湖州市,吴兴区,栋梁新材,浙江栋梁新材股份有限公司,铝业,990450,6676,0.70%,栋梁新材(002082),,浙江省湖州市织里镇栋梁路1688号,浙江省湖州市织里镇栋梁路,www.dongliang.com.cn,2006-11-20
浙江省,湖州市,吴兴区,金洲管道,浙江金洲管道科技股份有限公司,工业机械,266830,12141,4.50%,金洲管道(002443),,浙江省湖州市东门十五里牌（318国道旁）,浙江省湖州市吴兴区八里店区府南路388号,www.chinakingland.com,2010-7-6
浙江省,湖州市,吴兴区,永兴特钢,永兴特种不锈钢股份有限公司,钢铁,292295,27874,9.50%,永兴特钢(002756),,浙江省湖州市杨家埠,浙江省湖州市杨家埠,www.yongxingbxg.com,2015-5-15
浙江省,湖州市,吴兴区,东尼电子,浙江东尼电子股份有限公司,计算机硬件,41833,9787,23.40%,东尼电子(603595),,浙江省湖州市吴兴区织里镇中华东路88号,浙江省湖州市吴兴区织里镇中华东路88号,www.tony-tech.com,2017-7-12
浙江省,湖州市,吴兴区,德宏股份,浙江德宏汽车电子电器股份有限公司,电子电气组件与设备,36626,6940,18.90%,德宏股份(603701),,浙江省湖州市南太湖大道1888号,浙江省湖州市南太湖大道1888号,www.dehong.com.cn,2016-4-12
浙江省,湖州市,吴兴区,香飘飘,香飘飘食品股份有限公司,软饮料,134033,7459,5.60%,香飘飘(603711),,浙江省湖州经济技术开发区创业大道888号,浙江省湖州经济技术开发区创业大道888号,www.chinaxpp.com,2017-11-30
浙江省,湖州市,南浔区,久立特材,浙江久立特材科技股份有限公司,钢铁,199601,9737,4.90%,久立特材(002318),,浙江省湖州市双林镇镇西,浙江省湖州市双林镇镇西,www.jiuli.com,2009-12-11
浙江省,湖州市,南浔区,尤夫股份,浙江尤夫高新纤维股份有限公司,通用化工品,371381,34636,9.30%,尤夫股份(002427),,浙江省湖州市和孚镇工业园区,浙江省湖州市和孚镇工业园区,www.unifull.com,2010-6-8
浙江省,湖州市,南浔区,星光农机,星光农机股份有限公司,综合工业,55447,6403,11.50%,星光农机(603789),,浙江省湖州市和孚镇星光大街1688号,浙江省湖州市和孚镇星光大街1688号,www.xg1688.com,2015-4-27
浙江省,湖州市,德清县,兔宝宝,德华兔宝宝装饰新材股份有限公司,建材与构件,295148,30962,10.50%,兔宝宝(002043),,浙江省德清县洛舍镇工业区,浙江省德清县武康镇临溪街588号,www.tubaobao.com,2005-5-10
浙江省,湖州市,德清县,佐力药业,浙江佐力药业股份有限公司,制药,59897,2647,4.40%,佐力药业(300181),,浙江省德清县阜溪街道志远北路388号,浙江省湖州市德清县武康镇志远路,www.zuoli.com,2011-2-22
浙江省,湖州市,德清县,我武生物,浙江我武生物科技股份有限公司,医药与生物科技,29362,17292,58.90%,我武生物(300357),,浙江省湖州市德清县武康镇志远北路636号,浙江省湖州市德清县武康镇志远北路636号,www.wolwobiotech.com,2014-1-21
浙江省,湖州市,德清县,浙江鼎力,浙江鼎力机械股份有限公司,工业机械,86588,26832,31.00%,浙江鼎力(603338),,浙江省德清县雷甸镇白云南路1255号,浙江省德清县雷甸镇白云南路1255号,www.cndingli.com,2015-3-25
浙江省,湖州市,德清县,三星新材,浙江三星新材股份有限公司,通用化工品,22282,4736,21.30%,三星新材(603578),,浙江省德清县禹越镇杭海路333号,浙江省德清县禹越镇杭海路333号,www.sxslhg.com,2017-3-6
浙江省,湖州市,长兴县,诺力股份,诺力智能装备股份有限公司,汽车,152301,13012,8.50%,诺力股份(603611),,浙江省长兴县太湖街道长州路528号,浙江省长兴县太湖街道长州路528号,www.noblelift.com,2015-1-28
浙江省,湖州市,安吉县,洁美科技,浙江洁美电子科技股份有限公司,电子电气组件与设备,69402,15308,22.10%,洁美科技(002859),,浙江省安吉经济开发区阳光工业园区,浙江省安吉经济开发区阳光工业园区,www.jmkj.com,2017-4-7
浙江省,湖州市,安吉县,永艺股份,永艺家具股份有限公司,家具,130403,10797,8.30%,永艺股份(603600),,浙江省湖州市安吉县递铺镇永艺西路1号,浙江省湖州市安吉县递铺镇永艺西路1号,www.uechairs.com,2015-1-23
浙江省,湖州市,安吉县,恒林股份,浙江恒林椅业股份有限公司,家具,142554,19423,13.60%,恒林股份(603661),,浙江省安吉县递铺街道夹溪路378、380号,浙江省安吉县递铺街道夹溪路378、380号,www.henglin.com,2017-11-21
