省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,绍兴市,诸暨市,海亮股份,浙江海亮股份有限公司,有色金属,2098774,60667,2.90%,海亮股份(002203),浙江省诸暨市店口镇工业区,浙江省诸暨市店口镇工业区,www.hailiang.com,2008/1/16
浙江省,绍兴市,诸暨市,大东南,浙江大东南股份有限公司,特种化工品,77525,-2406,-3.10%,大东南(002263),浙江省诸暨市城西工业区,浙江省诸暨市陶朱街道千禧路5号,www.chinaddn.com,2008/7/28
浙江省,绍兴市,诸暨市,步森股份,浙江步森服饰股份有限公司,服装与服饰,26086,-2185,-8.40%,步森股份(002569),浙江省诸暨市枫桥镇步森大道419号,浙江省诸暨市枫桥镇步森大道419号,www.busen.cn,2011/4/12
浙江省,绍兴市,诸暨市,万安科技,浙江万安科技股份有限公司,汽车零配件（IV）,165366,11582,7.00%,万安科技(002590),浙江省诸暨市店口镇工业区,浙江省诸暨市店口镇工业区中央路188号,www.vie.com.cn,2011/6/10
浙江省,绍兴市,诸暨市,露笑科技,露笑科技股份有限公司,有色金属,234058,30015,12.80%,露笑科技(002617),浙江省诸暨市店口镇露笑路38号,浙江省诸暨市店口镇露笑路38号,www.roshowtech.com,2011/9/20
浙江省,绍兴市,诸暨市,申科股份,申科滑动轴承股份有限公司,工业机械,10868,-113,-1.00%,申科股份(002633),浙江省诸暨市望云路132号,浙江省诸暨市陶朱街道望云路132号,www.shenke.com,2011/11/22
浙江省,绍兴市,诸暨市,浙江富润,浙江富润股份有限公司,服装与服饰,135694,20454,15.10%,浙江富润(600070),浙江省诸暨市暨阳街道苎萝东路60号,浙江省诸暨市陶朱南路12号,www.furun.net,1997/6/4
浙江省,绍兴市,诸暨市,海越股份,浙江海越股份有限公司,石油勘探与开采,749420,-8854,-1.20%,海越股份(600387),浙江省诸暨市西施大街59号,浙江省诸暨市西施大街59号,www.chinahaiyue.com,2004/2/18
浙江省,绍兴市,诸暨市,菲达环保,浙江菲达环保科技股份有限公司,工业机械,280216,5689,2.00%,菲达环保(600526),浙江省诸暨市望云路88号,浙江省诸暨市望云路88号,www.feida.biz,2002/7/22
浙江省,绍兴市,诸暨市,金海环境,浙江金海环境技术股份有限公司,电子电气组件与设备,40446,9034,22.30%,金海环境(603311),浙江省诸暨市应店街镇工业区,浙江省诸暨市应店街镇工业区,www.goldensea.cn,2015/5/18
浙江省,绍兴市,诸暨市,创新医疗,创新医疗管理股份有限公司,医疗保健服务,60637,15612,25.70%,创新医疗(002173),浙江省诸暨市山下湖镇郑家湖村,浙江省诸暨市山下湖镇珍珠工业园,"""""""""""""""www.shanxiahupearl.cn""""""","""""""www.shanxiahu.com""""""""""""""",2007/9/25
