省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,金华市,永康市,哈尔斯,浙江哈尔斯真空器皿股份有限公司,耐用消费品,98192,11895,12.10%,哈尔斯(002615),浙江省永康经济开发区哈尔斯路1号,浙江省永康经济开发区哈尔斯路1号,www.haers.com,2011/9/9
浙江省,金华市,永康市,道明光学,浙江道明光学股份有限公司,特种化工品,53365,8421,15.80%,道明光学(002632),浙江省永康市象珠镇象珠工业区3号迎宾大道1号,浙江省永康市经济开发区东吴路581号,www.chinadaoming.com,2011/11/22
浙江省,金华市,永康市,中坚科技,浙江中坚科技股份有限公司,工业机械,34427,3276,9.50%,中坚科技(002779),浙江省永康市经济开发区名园南大道10号,浙江省永康市经济开发区名园南大道10号,www.topsunpower.cc,2015/12/9
浙江省,金华市,义乌市,棒杰股份,浙江棒杰数码针织品股份有限公司,服装与服饰,31676,5047,15.90%,棒杰股份(002634),浙江省义乌市苏溪镇镇南小区,浙江省义乌市苏溪镇镇南小区,www.bangjie.cn,2011/12/5
浙江省,金华市,义乌市,浙江世宝,浙江世宝股份有限公司,汽车零配件（IV）,78282,4566,5.80%,浙江世宝(002703),浙江省义乌市佛堂镇双林路1号,浙江省义乌市佛堂镇双林路1号,www.zjshibao.com,2012/11/2
浙江省,金华市,义乌市,华统股份,浙江华统肉制品股份有限公司,农业与渔业,328984,8847,2.70%,华统股份(002840),浙江省义乌市义亭镇姑塘工业小区,浙江省义乌市义亭镇姑塘工业小区,www.huatongmeat.com,2017/1/10
浙江省,金华市,义乌市,小商品城,浙江中国小商品城集团股份有限公司,综合工业,893744,176081,19.70%,小商品城(600415),浙江省义乌市福田路105号海洋商务写字楼,浙江省义乌市福田路105号海洋商务写字楼,www.cccgroup.com.cn,2002/5/9
浙江省,金华市,义乌市,华鼎股份,义乌华鼎锦纶股份有限公司,通用化工品,200104,7255,3.60%,华鼎股份(601113),浙江省义乌市北苑工业区雪峰西路751号,浙江省义乌市北苑工业区雪峰西路751号,www.hdnylon.com,2011/5/9
浙江省,金华市,婺城区,东晶电子,浙江东晶电子股份有限公司,电子电气组件与设备,16815,-915,-5.40%,东晶电子(002199),浙江省金华市宾虹西路555号,浙江省金华市宾虹西路555号,www.ecec.com.cn,2007/12/21
浙江省,金华市,婺城区,万里扬,浙江万里扬股份有限公司,商用运载工具与车辆,376727,58590,15.60%,万里扬(002434),浙江省金华市宾虹西路3999号,浙江省金华市宾虹西路3999号,www.zjwly.com,2010/6/18
浙江省,金华市,婺城区,艾格拉斯,艾格拉斯股份有限公司,互联网,48777,23584,48.40%,艾格拉斯(002619),浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）,浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）,www.zjjlgy.com,2011/9/29
浙江省,金华市,婺城区,尖峰集团,浙江尖峰集团股份有限公司,建材与构件,196620,38575,19.60%,尖峰集团(600668),浙江省金华市婺江东路88号,浙江省金华市婺江东路88号,www.jianfeng.com.cn,1993/7/28
浙江省,金华市,武义县,寿仙谷,浙江寿仙谷医药股份有限公司,医药与生物科技,23355,5035,21.60%,寿仙谷(603896),浙江省武义县壶山街道商城路10号,浙江省武义县壶山街道商城路10号,www.sxg1909.com,2017/5/10
浙江省,金华市,金东区,金字火腿,金字火腿股份有限公司,食品生产（IV）,29155,17283,59.30%,金字火腿(002515),浙江省金华市工业园区金帆街1000号,浙江省金华市工业园区金帆街1000号,www.jinzichina.com,2010/12/3
浙江省,金华市,金东区,今飞凯达,浙江今飞凯达轮毂股份有限公司,汽车零配件（IV）,171331,4051,2.40%,今飞凯达(002863),浙江省金华市工业园区仙华南街800号,浙江省金华市工业园区仙华南街800号,www.jfkd.com.cn,2017/4/18
浙江省,金华市,金东区,金利华电,浙江金利华电气股份有限公司,电子电气组件与设备,21777,2655,12.20%,金利华电(300069),浙江省金华市金东经济开发区,浙江省金华市金东经济开发区（傅村镇）,www.jlhdq.com,2010/4/21
浙江省,金华市,东阳市,唐德影视,浙江唐德影视股份有限公司,广播与娱乐,52881,12754,24.10%,唐德影视(300426),浙江省横店影视产业实验区C3-028,浙江省横店影视产业实验区C3-028,www.tangde.com.cn,2015/2/17
浙江省,金华市,东阳市,普洛药业,普洛药业股份有限公司,制药,397425,18334,4.60%,普洛药业(000739),浙江省东阳市横店江南路333号,浙江省东阳市横店江南路333号,www.apeloa.com,1997/5/9
浙江省,金华市,东阳市,横店东磁,横店集团东磁股份有限公司,电子电气组件与设备,435671,47495,10.90%,横店东磁(002056),浙江省东阳市横店工业区,浙江省东阳市横店工业区,www.chinadmegc.com,2006/8/2
浙江省,金华市,东阳市,花园生物,浙江花园生物高科股份有限公司,食品生产（IV）,31017,11967,38.60%,花园生物(300401),浙江省东阳市南马镇花园村,浙江省东阳市南马镇花园村,www.hybiotech.com,2014/10/9
浙江省,金华市,东阳市,横店影视,横店影视股份有限公司,广播与娱乐,193636,36901,19.10%,横店影视(603103),浙江省东阳市横店镇横店影视产业实验区商务楼,浙江省东阳市横店镇横店影视产业实验区商务楼,www.hengdianfilm.com,2017/10/12
浙江省,金华市,东阳市,得邦照明,横店集团得邦照明股份有限公司,电子与电气设备,304390,16992,5.60%,得邦照明(603303),浙江省东阳市横店工业区,浙江省东阳市横店工业区,www.tospolighting.com.cn,2017/3/30
