省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
海南省,海口市,龙华区,海虹控股,海虹企业(控股)股份有限公司,互联网,11213,-17241,-153.80%,海虹控股(000503),,海南省海口市文华路18号文华大酒店七层,海南省海口市文华路18号文华大酒店七层,www.searainbow.com,1992-11-30
海南省,海口市,龙华区,珠江控股,海南珠江控股股份有限公司,不动产投资开发,551526,18787,3.40%,珠江控股(000505),,海南省海口市滨海大道珠江广场帝豪大厦29层,海南省海口市滨海大道珠江广场帝豪大厦29楼,--,1992-12-21
海南省,海口市,龙华区,海马汽车,海马汽车集团股份有限公司,汽车,691118,-11140,-1.60%,海马汽车(000572),,海南省海口市金盘工业区金盘路12-8号,海南省海口市金盘工业区金牛路2号,www.000572.com,1994-8-8
海南省,海口市,龙华区,欣龙控股,欣龙控股(集团)股份有限公司,服装与服饰,47629,-4820,-10.10%,欣龙控股(000955),,海南省澄迈县老城工业开发区,海南省海口市龙昆北路2号珠江广场帝豪大厦17层,www.xinlong-holding.com,1999-12-9
海南省,海口市,龙华区,海峡股份,海南海峡航运股份有限公司,水上运输,74361,27906,37.50%,海峡股份(002320),,海南省海口市滨海大道157号港航大厦14楼,海南省海口市滨海大道157号港航大厦14楼,www.hnss.net.cn,2009-12-16
海南省,海口市,龙华区,钧达股份,海南钧达汽车饰件股份有限公司,汽车零配件（IV）,75759,4646,6.10%,钧达股份(002865),,海南省海口市南海大道168号海口保税区内海南钧达大楼,海南省海口市南海大道168号海口保税区内海南钧达大楼,--,2017-4-25
海南省,海口市,龙华区,珠江控股,海南珠江控股股份有限公司,不动产投资开发,551526,18787,3.40%,珠江B(200505),,海南省海口市滨海大道珠江广场帝豪大厦29层,海南省海口市滨海大道珠江广场帝豪大厦29楼,--,1992-12-21
海南省,海口市,龙华区,神农基因,海南神农基因科技股份有限公司,农业与渔业,104640,404,0.40%,神农基因(300189),,海南省海口市紫荆路2-1号紫荆信息公寓26A,海南省海口市紫荆路2-1号紫荆信息公寓26A,www.sndf.com.cn,2011-3-16
海南省,海口市,龙华区,海南椰岛,海南椰岛(集团)股份有限公司,酿酒业,68927,313,0.50%,海南椰岛(600238),,海南省海口市龙昆北路13-1号,海南省海口市龙昆北路13-1号,www.yedao.com,2000-1-20
海南省,海口市,龙华区,海南橡胶,海南天然橡胶产业集团股份有限公司,农业与渔业,877723,-28608,-3.30%,海南橡胶(601118),,海南省海口市滨海大道103号财富广场四层,海南省海口市滨海大道103号财富广场四层,www.hirub.cn,2011-1-7
