省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
湖北省,随州市,曾都区,泰晶科技,湖北泰晶电子科技股份有限公司,电子设备,35408,6220,17.60%,泰晶科技(603738),湖北省随州市曾都经济开发区,湖北省随州市曾都经济开发区,www.sztkd.com,2016-9-28
湖北省,孝感市,应城市,双环科技,湖北双环科技股份有限公司,通用化工品,295906,-3334,-1.10%,双环科技(000707),湖北省应城市东马坊团结大道26号,湖北省应城市东马坊团结大道26号,www.hbshkj.cn,1997-4-15
湖北省,孝感市,应城市,富邦股份,湖北富邦科技股份有限公司,特种化工品,37160,6481,17.40%,富邦股份(300387),湖北省应城市经济技术开发区,湖北省应城市经济技术开发区,www.forbon.com,2014-7-2
湖北省,宜昌市,夷陵区,兴发集团,湖北兴发化工集团股份有限公司,通用化工品,1190733,62450,5.20%,兴发集团(600141),湖北省宜昌市兴山县古夫镇高阳大道58号,湖北省宜昌市发展大道97号宜昌三峡企业总部基地D7号楼二层,www.xingfagroup.com,1999-6-16
湖北省,襄阳市,襄州区,回天新材,湖北回天新材料股份有限公司,特种化工品,110661,8103,7.30%,回天新材(300041),湖北省襄阳市国家高新技术开发区航天路7号,湖北省襄阳市国家高新技术开发区航天路7号,www.huitian.net.cn,2010-1-8
湖北省,襄阳市,襄城区,襄阳轴承,襄阳汽车轴承股份有限公司,工业机械,118329,151,0.10%,襄阳轴承(000678),湖北省襄阳市襄城区轴承路1号,湖北省襄阳市襄城区轴承路1号,www.zxy.com.cn,1997-1-6
湖北省,襄阳市,襄城区,台基股份,湖北台基半导体股份有限公司,电子电气组件与设备,25108,5709,22.70%,台基股份(300046),湖北省襄阳市襄城区胜利街162号,湖北省襄阳市襄城区胜利街162号,www.tech-sem.com,2010-1-20
湖北省,黄石市,下陆区,美尔雅,湖北美尔雅股份有限公司,服装与服饰,29710,-694,-2.30%,美尔雅(600107),湖北省黄石市消防路29号,湖北省黄石市团城山开发区美尔雅工业园,www.mailyard.com.cn,1997-11-6
湖北省,黄石市,西塞山区,大冶特钢,大冶特殊钢股份有限公司,钢铁,738693,35087,4.70%,大冶特钢(000708),湖北省黄石市黄石大道316号,湖北省黄石市黄石大道316号,www.dayesteel.com.cn,1997-3-26
湖北省,黄石市,西塞山区,振华股份,湖北振华化学股份有限公司,化工品（II）,85902,6352,7.40%,振华股份(603067),湖北省黄石市西塞山区黄石大道668号,湖北省黄石市西塞山区黄石大道668号,www.hszhenhua.com,2016-9-13
