省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
湖南省,益阳市,资阳区,奥士康,奥士康科技股份有限公司,电子设备,122575,13899,11.30%,奥士康(002913),,湖南省益阳市资阳区长春工业园龙塘村,湖南省益阳市资阳区长春工业园龙塘村,www.askpcb.com,2017-12-1
湖南省,岳阳市,岳阳县,凯美特气,湖南凯美特气体股份有限公司,综合公共事业,30429,2919,9.60%,凯美特气(002549),,湖南省岳阳市岳阳楼区七里山（巴陵石化化肥事业部西门）,湖南省岳阳市七里山,www.china-kmt.cn,2011-2-18
湖南省,岳阳市,岳阳楼区,恒立实业,恒立实业发展集团股份有限公司,汽车零配件（IV）,3524,-1502,-42.60%,恒立实业(000622),,湖南省岳阳市岳阳楼区青年中路9号,湖南省岳阳市金鹗中路228号景源商务中心,www.yyhengli.com,1996-11-7
湖南省,岳阳市,岳阳楼区,岳阳兴长,岳阳兴长石化股份有限公司,通用化工品,106548,840,0.80%,岳阳兴长(000819),,湖南省岳阳市云溪区,湖南省岳阳市岳阳大道岳阳兴长大厦九楼,www.yyxc0819.com,1997-6-25
湖南省,岳阳市,岳阳楼区,天润数娱,湖南天润数字娱乐文化传媒股份有限公司,互联网,13068,1778,13.60%,天润数娱(002113),,湖南省岳阳市九华山2号,湖南省岳阳市岳阳大道兴长石化大厦6楼,www.trfz.com,2007-2-8
湖南省,岳阳市,岳阳楼区,道道全,道道全粮油股份有限公司,食品生产（IV）,231867,18831,8.10%,道道全(002852),,湖南省岳阳经济技术开发区屈原路19号,湖南省岳阳经济技术开发区营盘岭路113号,www.ddqly.com,2017-3-10
湖南省,岳阳市,岳阳楼区,中科电气,湖南中科电气股份有限公司,工业机械,27302,4689,17.20%,中科电气(300035),,湖南省岳阳经济技术开发区岳阳大道中科工业园,湖南省岳阳市岳阳大道中科工业园,www.cseco.cn,2009-12-25
湖南省,岳阳市,岳阳楼区,岳阳林纸,岳阳林纸股份有限公司,造纸,405451,25801,6.40%,岳阳林纸(600963),,湖南省岳阳市岳阳楼区城陵矶光明路,湖南省岳阳市城陵矶洪家洲,www.yypaper.com,2004-5-25
湖南省,岳阳市,岳阳楼区,百利科技,湖南百利工程科技股份有限公司,工业工程,42826,6897,16.10%,百利科技(603959),,湖南省岳阳市岳阳楼区洞庭大道1号,湖南省岳阳市岳阳楼区洞庭大道1号,www.blest.com.cn,2016-5-17
湖南省,湘潭市,岳塘区,湘潭电化,湘潭电化科技股份有限公司,通用化工品,52892,5073,9.60%,湘潭电化(002125),,湖南省湘潭市雨湖区鹤岭镇,湖南省湘潭市滴水埠,www.chinaemd.com,2007-4-3
湖南省,湘潭市,岳塘区,湘电股份,湘潭电机股份有限公司,工业机械,665959,6666,1.00%,湘电股份(600416),,湖南省湘潭市下摄司街302号,湖南省湘潭市下摄司街302号,www.xemc.com.cn,2002-7-18
湖南省,长沙市,岳麓区,中联重科,中联重科股份有限公司,商用运载工具与车辆,1786027,113713,6.40%,中联重科(000157),,湖南省长沙市银盆南路361号,湖南省长沙市银盆南路361号,www.zoomlion.com,2000-10-12
湖南省,长沙市,岳麓区,九芝堂,九芝堂股份有限公司,制药,275050,58684,21.30%,九芝堂(000989),,湖南省长沙市桐梓坡西路339号,湖南省长沙市岳麓区桐梓坡西路339号,www.hnjzt.com,2000-6-28
湖南省,长沙市,岳麓区,拓维信息,拓维信息系统股份有限公司,移动通信服务,80057,15106,18.90%,拓维信息(002261),,湖南省长沙市岳麓区桐梓坡西路298号,湖南省长沙市岳麓区桐梓坡西路298号,www.talkweb.com.cn,2008-7-23
湖南省,长沙市,岳麓区,博云新材,湖南博云新材料股份有限公司,航空航天,39878,-2507,-6.30%,博云新材(002297),,湖南省长沙市河西国家级高新技术产业开发区麓谷麓松路500号,湖南省长沙市岳麓区雷锋大道346号,www.hnboyun.com.cn,2009-9-29
湖南省,长沙市,岳麓区,金杯电工,金杯电工股份有限公司,电子电气组件与设备,273951,13645,5.00%,金杯电工(002533),,湖南省长沙市高新技术产业开发区东方红中路580号,湖南省长沙市国家高新技术产业开发区东方红中路580号,www.gold-cup.cn,2010-12-31
湖南省,长沙市,岳麓区,多喜爱,多喜爱家纺股份有限公司,服装与服饰,44602,1124,2.50%,多喜爱(002761),,湖南省长沙市岳麓区麓谷大道627号长海创业基地南二层,湖南省长沙市岳麓区环联路102号,www.dohia.com,2015-6-10
湖南省,长沙市,岳麓区,长缆科技,长缆电工科技股份有限公司,电子电气组件与设备,44937,10240,22.80%,长缆科技(002879),,湖南省长沙高新开发区麓谷工业园桐梓坡西路223号,湖南省长沙高新开发区麓谷工业园桐梓坡西路223号,www.csdlfj.com,2017-7-7
湖南省,长沙市,岳麓区,天舟文化,天舟文化股份有限公司,出版业,51685,14178,27.40%,天舟文化(300148),,湖南省长沙县星沙镇茶叶大市场办公楼502、602号,湖南省长沙市岳麓区银杉路31号绿地中央广场紫峰写字楼6栋33F,www.t-angel.com,2010-12-15
湖南省,长沙市,岳麓区,三诺生物,三诺生物传感股份有限公司,工业机械,76264,24731,32.40%,三诺生物(300298),,湖南省长沙市高新技术产业开发区谷苑路265号,湖南省长沙市国家高新技术开发区谷苑路265号,www.sinocare.com,2012-3-19
湖南省,长沙市,岳麓区,红宇新材,湖南红宇耐磨新材料股份有限公司,工业金属,30266,1167,3.90%,红宇新材(300345),,湖南省长沙市金洲新区金沙西路068号,湖南省长沙市岳麓区银杉路031号(绿地中央广场)6栋31楼,www.chinahongyu.cn,2012-8-1
湖南省,长沙市,岳麓区,景嘉微,长沙景嘉微电子股份有限公司,电子电气组件与设备,24669,9728,39.40%,景嘉微(300474),,湖南省长沙高新开发区麓谷麓景路2号,湖南省长沙高新开发区麓谷麓景路2号,www.jingjiamicro.com,2016-3-31
湖南省,长沙市,岳麓区,华自科技,华自科技股份有限公司,电子电气组件与设备,34181,2229,6.50%,华自科技(300490),,湖南省长沙高新开发区麓谷麓松路609号,湖南省长沙高新开发区麓谷麓松路609号,www.cshnac.com,2015-12-31
湖南省,长沙市,岳麓区,三德科技,湖南三德科技股份有限公司,工业机械,13562,2166,16.00%,三德科技(300515),,湖南省长沙高新开发区桐梓坡西路558号,湖南省长沙高新开发区桐梓坡西路558号,www.sandegroup.com,2016-6-8
湖南省,长沙市,岳麓区,华凯创意,湖南华凯文化创意股份有限公司,广播与娱乐,32885,4296,13.10%,华凯创意(300592),,湖南省长沙市岳麓区桐梓坡西路229号厂房101,湖南省长沙市岳麓区桐梓坡西路229号厂房101,www.huakai.net,2017-1-20
湖南省,长沙市,岳麓区,岱勒新材,长沙岱勒新材料科技股份有限公司,工业机械,29148,7816,26.80%,岱勒新材(300700),,湖南省长沙高新开发区环联路108号,湖南省长沙高新开发区环联路108号,www.diamsaw.com,2017-9-12
湖南省,长沙市,岳麓区,科创信息,湖南科创信息技术股份有限公司,软件,12861,91,0.70%,科创信息(300730),,湖南省长沙市岳麓区青山路678号,湖南省长沙市岳麓区青山路678号,www.chinacreator.com,2017-12-5
湖南省,长沙市,岳麓区,五矿资本,五矿资本股份有限公司,投资服务,715611,283509,39.60%,五矿资本(600390),,湖南省长沙市高新技术开发区麓枫路69号,湖南省长沙市岳麓区麓山南路966号,www.king-ray.com.cn,2001-1-15
湖南省,长沙市,岳麓区,方盛制药,湖南方盛制药股份有限公司,制药,51893,9085,17.50%,方盛制药(603998),,湖南省长沙市河西麓谷麓天路19号,湖南省长沙市国家高新技术产业开发区嘉运路299号,www.fangsheng.com.cn,2014-12-5
湖南省,益阳市,沅江市,太阳鸟,太阳鸟游艇股份有限公司,商用运载工具与车辆,42948,1832,4.30%,太阳鸟(300123),,湖南省沅江市游艇工业园,湖南省沅江市石矶湖大堤路,www.cnsunbird.com,2010-9-28
湖南省,长沙市,雨花区,通程控股,长沙通程控股股份有限公司,百货零售,287182,14263,5.00%,通程控股(000419),,湖南省长沙市雨花区劳动西路589号,湖南省长沙市雨花区劳动西路589号,www.e-tongcheng.com,1996-8-16
湖南省,湘潭市,雨湖区,步步高,步步高商业连锁股份有限公司,综合供应商,1271235,25263,2.00%,步步高(002251),,湖南省湘潭市韶山西路309号步步高大厦,湖南省湘潭市韶山西路309号步步高大厦,www.bbg.com.cn,2008-6-19
湖南省,张家界市,永定区,张家界,张家界旅游集团股份有限公司,旅游业,42625,5955,14.00%,张家界(000430),,湖南省张家界市南庄坪1号花园,湖南省张家界市三角坪145号张家界国际大酒店三楼,www.zjjgf.com,1996-8-29
湖南省,常德市,武陵区,金健米业,金健米业股份有限公司,食品生产（IV）,199798,-87,0.00%,金健米业(600127),,湖南省常德市德山开发区崇德路金健米业总部,湖南省常德市德山开发区崇德路金健米业总部,www.jjmy.cn,1998-5-6
湖南省,常德市,武陵区,大湖股份,大湖水殖股份有限公司,农业与渔业,63485,949,1.50%,大湖股份(600257),,湖南省常德市建设东路348号泓鑫桃林6号楼,湖南省常德市建设东路348号泓鑫桃林6号楼,www.dhszgf.com,2000-6-12
