省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,宁德市,柘荣县,广生堂,福建广生堂药业股份有限公司,制药,22274,3515,15.80%,广生堂(300436),福建省柘荣县东源乡富源工业区,福建省柘荣县东源乡富源工业区,www.cosunter.com,2015/4/22
福建省,三明市,永安市,永安林业,福建省永安林业(集团)股份有限公司,家具,85281,5881,6.90%,永安林业(000663),福建省永安市燕江东路819号,福建省永安市燕江东路819号,www.yonglin.com,1996/12/6
福建省,南平市,延平区,太阳电缆,福建南平太阳电缆股份有限公司,电子电气组件与设备,285336,10782,3.80%,太阳电缆(002300),福建省南平市工业路102号,福建省南平市工业路102号,www.npcable.com,2009/10/21
福建省,南平市,延平区,元力股份,福建元力活性炭股份有限公司,通用化工品,59364,5015,8.40%,元力股份(300174),福建省南平来舟经济开发区,福建省南平市八一路356号,www.yuanlicarbon.com,2011/2/1
福建省,莆田市,秀屿区,*ST众和,福建众和股份有限公司,服装与服饰,58301,-17674,-30.30%,*ST众和(002070),福建省莆田市秀屿区西许工业区5-8号,福建省莆田市秀屿区西许工业区5-8号,www.zhonghe.com,2006/10/12
福建省,龙岩市,新罗区,龙洲股份,福建龙洲运输股份有限公司,公路运输,314110,14536,4.60%,龙洲股份(002682),福建省龙岩市新罗区南环西路112号,福建省龙岩市新罗区南环西路112号,www.lzgf.cn,2012/6/12
福建省,龙岩市,新罗区,龙净环保,福建龙净环保股份有限公司,工业机械,497143,52891,10.60%,龙净环保(600388),福建省龙岩市新罗区工业中路19号,福建省龙岩市新罗区陵园路81号,www.longking.com.cn,2000/12/29
福建省,龙岩市,新罗区,龙马环卫,福建龙马环卫装备股份有限公司,废物处理与回收服务,226799,24134,10.60%,龙马环卫(603686),福建省龙岩经济开发区,福建省龙岩经济开发区,www.fjlm.com.cn,2015/1/26
福建省,厦门市,翔安区,好利来,好利来(中国)电子科技股份有限公司,电子电气组件与设备,13178,2702,20.50%,好利来(002729),福建省厦门市翔安区舫山东二路829号,福建省厦门市翔安区舫山东二路829号,www.hollyfuse.com,2014/9/12
福建省,厦门市,翔安区,延江股份,厦门延江新材料股份有限公司,服装与服饰,55001,7008,12.70%,延江股份(300658),福建省厦门市翔安区内厝镇上塘社区363号致富楼299室,福建省厦门市翔安区内厝镇上塘社区363号致富楼299室,www.yanjan.com,2017/6/2
福建省,漳州市,芗城区,片仔癀,漳州片仔癀药业股份有限公司,制药,274470,76462,27.90%,片仔癀(600436),福建省漳州市芗城区上街1号,福建省漳州市芗城区上街1号,www.zzpzh.com,2003/6/16
福建省,漳州市,芗城区,龙溪股份,福建龙溪轴承(集团)股份有限公司,工业机械,67703,6011,8.90%,龙溪股份(600592),福建省漳州市延安北路,福建省漳州市延安北路,www.ls.com.cn,2002/8/5
福建省,厦门市,同安区,金牌厨柜,厦门金牌厨柜股份有限公司,家具,96719,9786,10.10%,金牌厨柜(603180),福建省厦门市同安工业集中区同安园集和路190号,福建省厦门市同安工业集中区同安园集和路190号,www.goldenhome.cc,2017/5/12
福建省,福州市,台江区,航天发展,航天工业发展股份有限公司,通讯设备,143619,21746,15.10%,航天发展(000547),福建省福州市台江区五一南路67号,福建省福州市五一南路17号工行五一支行13层,http://www.szxrjt.com,1993/11/30
福建省,福州市,台江区,三木集团,福建三木集团股份有限公司,百货零售,440600,5483,1.20%,三木集团(000632),福建省福州市开发区君竹路162号,福建省福州市台江区江滨西大道118号IFC福州国际金融中心41层,www.san-mu.com,1996/11/21
福建省,厦门市,思明区,三安光电,三安光电股份有限公司,电子电气组件与设备,628252,256742,40.90%,三安光电(600703),湖北省荆州市荆州开发区东方大道131号,福建省厦门市思明区吕岭路1721-1725号,www.sanan-e.com,1996/5/28
福建省,厦门市,思明区,科华恒盛,厦门科华恒盛股份有限公司,电子电气组件与设备,148302,37884,25.50%,科华恒盛(002335),福建省厦门火炬高新区火炬园马垄路457号,福建省厦门市软件园二期望海路65号楼北楼,www.kehua.com.cn,2010/1/13
福建省,厦门市,思明区,建研集团,厦门市建筑科学研究院集团股份有限公司,建筑施工,133490,15507,11.60%,建研集团(002398),福建省厦门市思明区湖滨南路62号,福建省厦门市思明区湖滨南路62号,www.xmabr.com,2010/5/6
福建省,厦门市,思明区,奥佳华,奥佳华智能健康科技集团股份有限公司,电子电气组件与设备,288868,22405,7.80%,奥佳华(002614),福建省厦门市前埔路168号,福建省厦门市思明区前埔路168号(五楼),www.easepal.com.cn,2011/9/9
福建省,厦门市,思明区,万里石,厦门万里石股份有限公司,建材与构件,63077,2751,4.40%,万里石(002785),福建省厦门市思明区湖滨北路201号宏业大厦8楼,福建省厦门市思明区湖滨北路201号宏业大厦8楼,www.wanlistone.com,2015/12/23
福建省,厦门市,思明区,三五互联,厦门三五互联科技股份有限公司,软件,24561,4898,19.90%,三五互联(300051),福建省厦门市火炬高新技术产业开发区软件园二期观日路8号一层,福建省厦门市火炬高新技术产业开发区软件园二期观日路8号一层,www.35.com,2010/2/11
福建省,厦门市,思明区,红相电力,厦门红相电力设备股份有限公司,电子电气组件与设备,24599,3011,12.20%,红相电力(300427),福建省厦门市思明区南投路3号1002单元之一,福建省厦门市思明区南投路3号1002单元之一,www.redphase.com.cn,2015/2/17
福建省,厦门市,思明区,光莆股份,厦门光莆电子股份有限公司,电子电气组件与设备,35793,4405,12.30%,光莆股份(300632),福建省厦门市思明区岭兜西路608号,福建省厦门市思明区岭兜西路608号、福建省厦门火炬高新区（翔安）产业区民安大道1800-1812号,www.goproled.cn,2017/4/6
福建省,厦门市,思明区,建发股份,厦门建发股份有限公司,综合供应商,14418660,257588,1.80%,建发股份(600153),福建省厦门市思明区环岛东路1699号建发国际大厦29层,福建省厦门市思明区环岛东路1699号建发国际大厦,www.chinacnd.com,1998/6/16
福建省,厦门市,思明区,厦门钨业,厦门钨业股份有限公司,有色金属,1014236,103680,10.20%,厦门钨业(600549),福建省厦门市海沧区柯井社,福建省厦门市湖滨南路619号1602室,www.cxtc.com,2002/11/7
福建省,厦门市,思明区,盛屯矿业,盛屯矿业集团股份有限公司,有色金属,1271816,46856,3.70%,盛屯矿业(600711),福建省厦门市翔安区双沪北路1号之2二楼,福建省厦门市金桥路101号(世纪金桥园)商务楼第四层东侧01单元,www.600711.com,1996/5/31
福建省,厦门市,思明区,厦门国贸,厦门国贸集团股份有限公司,综合供应商,10915070,296640,2.70%,厦门国贸(600755),福建省厦门市湖滨南路国贸大厦18层,福建省厦门市湖滨南路国贸大厦18层,www.itg.com.cn,1996/10/3
福建省,厦门市,思明区,厦华电子,厦门华侨电子股份有限公司,消费电子产品,354,-500,-141.20%,厦华电子(600870),福建省厦门市思明区环岛南路3088号三楼302室,福建省厦门市思明区环岛南路3088号三楼302室,www.iprima.com.cn,1995/2/28
福建省,厦门市,思明区,厦门空港,元翔(厦门)国际航空港股份有限公司,运输服务,122234,45895,37.50%,厦门空港(600897),福建省厦门高崎国际机场,福建省厦门高崎国际机场内厦门机场发展股份有限公司办公楼,www.xiac.com.cn,1996/5/31
福建省,厦门市,思明区,九牧王,九牧王股份有限公司,服装与服饰,178350,42267,23.70%,九牧王(601566),福建省泉州市经济技术开发区清蒙园区,福建省厦门市思明区宜兰路1号,www.jiumuwang.com,2011/5/30
福建省,厦门市,思明区,紫金矿业,紫金矿业集团股份有限公司,金矿开采,6197726,368934,6.00%,紫金矿业(601899),福建省上杭县紫金大道1号,福建省厦门市思明区环岛东路1811号中航紫金广场B塔,www.zjky.cn,2008/4/25
福建省,厦门市,思明区,傲农生物,福建傲农生物科技集团股份有限公司,农业与渔业,345817,11513,3.30%,傲农生物(603363),福建省漳州市芗城区金峰经济开发区兴亭路与宝莲路交叉处,福建省厦门市思明区观音山国际运营中心10号楼12层,www.aonong.com.cn,2017/9/26
福建省,厦门市,思明区,吉比特,厦门吉比特网络技术股份有限公司,互联网,106515,61520,57.80%,吉比特(603444),福建省厦门软件园二期望海路4号101室,福建省厦门软件园二期望海路4号101室,www.g-bits.com,2017/1/4
福建省,宁德市,寿宁县,三祥新材,三祥新材股份有限公司,建材与构件,30233,4732,15.70%,三祥新材(603663),福建省寿宁县解放街292号,福建省寿宁县解放街292号,www.fjsx.com,2016/8/1
福建省,三明市,沙县,青山纸业,福建省青山纸业股份有限公司,造纸,198283,14868,7.50%,青山纸业(600103),福建省福州市鼓楼区五一北路171号新都会花园广场16层,福建省沙县青州镇,www.qingshanpaper.com,1997/7/3
福建省,泉州市,泉港区,纳川股份,福建纳川管材科技股份有限公司,建材与构件,89899,4964,5.50%,纳川股份(300198),福建省泉州市泉港区普安工业区,福建省泉州市泉港区普安工业区,www.superpipe.cn,2011/4/7
福建省,南平市,浦城县,绿康生化,绿康生化股份有限公司,制药,28854,7980,27.70%,绿康生化(002868),福建省浦城县南浦生态工业园区19号,福建省浦城县南浦生态工业园区19号,www.pclifecome.com,2017/5/3
福建省,泉州市,南安市,天广中茂,天广中茂股份有限公司,工业机械,258771,46830,18.10%,天广中茂(002509),福建省南安市成功科技开发区,福建省南安市成功科技工业区,www.tianguang.com,2010/11/23
福建省,泉州市,南安市,闽发铝业,福建省闽发铝业股份有限公司,铝业,84187,2606,3.10%,闽发铝业(002578),福建省泉州市南安市东田镇蓝溪村（一期）11幢1-3层,福建省南安市南美综合开发区,www.minfa.com,2011/4/28
福建省,福州市,闽侯县,海源机械,福建海源自动化机械股份有限公司,工业机械,23320,1844,7.90%,海源机械(002529),福建省福州市闽侯县荆溪镇铁岭北路2号,福建省福州市闽侯县荆溪镇铁岭北路2号,www.haiyuan-group.com,2010/12/24
福建省,福州市,闽侯县,博思软件,福建博思软件股份有限公司,软件,13116,1110,8.50%,博思软件(300525),福建省闽侯县上街镇科技东路福州高新技术产业开发区“海西高新技术产业园”创业大厦A区7层,福建省闽侯县上街镇科技东路福州高新技术产业开发区“海西高新技术产业园”创业大厦A,www.bosssoft.com.cn,2016/7/26
福建省,福州市,闽侯县,中富通,中富通股份有限公司,通讯设备,28273,3555,12.60%,中富通(300560),福建省福州市鼓楼区铜盘路软件大道89号软件园F区4号楼20、21、22层,福建省福州市闽侯县荆溪镇永丰村文山里福州软件园五期C楼第20、21、22层,www.zftii.com,2016/11/1
福建省,福州市,闽侯县,恒锋信息,恒锋信息科技股份有限公司,软件,25368,3117,12.30%,恒锋信息(300605),福建省福州市鼓楼区乌山西路318号洪山科技园创业中心大厦二层219室,福建省福州市闽侯县上街镇乌龙江中大道科技东路创新园5号楼,www.i-hengfeng.com,2017/2/8
福建省,福州市,闽侯县,永福股份,福建永福电力设计股份有限公司,电力（III）,39931,6467,16.20%,永福股份(300712),福建省福州市闽侯县上街镇海西科技园高新大道3号,福建省福州市闽侯县上街镇海西科技园高新大道3号,www.fjyfdl.com,2017/10/31
福建省,三明市,梅列区,三钢闽光,福建三钢闽光股份有限公司,钢铁,1582603,322366,20.40%,三钢闽光(002110),福建省三明市梅列区工业中路群工三路,福建省三明市梅列区工业中路群工三路,www.sgmg.com.cn,2007/1/26
福建省,福州市,马尾区,华映科技,华映科技(集团)股份有限公司,电子电气组件与设备,344518,5474,1.60%,华映科技(000536),福建省福州市马尾区儒江西路6号1#楼第三、四层,福建省福州市马尾区儒江西路6号1#楼第三、四层,www.cpttg.com,1993/11/26
福建省,福州市,马尾区,新大陆,福建新大陆电脑股份有限公司,计算机服务,350656,64284,18.30%,新大陆(000997),福建省福州市马尾区儒江西路1号,福建省福州市马尾区儒江西路1号,www.newlandcomputer.com,2000/8/7
福建省,福州市,马尾区,国脉科技,国脉科技股份有限公司,移动通信服务,105082,10944,10.40%,国脉科技(002093),福建省福州市马尾区江滨东大道116号,福建省福州市马尾区江滨东大道116号,www.guomaitech.com,2006/12/15
福建省,福州市,马尾区,?N兴股份,?N兴集团股份有限公司,容器与包装,148488,10596,7.10%,?N兴股份(002752),福建省福州市经济技术开发区经一路,福建省福州市经济技术开发区经一路,www.shengxingholdings.com,2015/4/22
福建省,福州市,马尾区,星云股份,福建星云电子股份有限公司,工业机械,18784,4313,23.00%,星云股份(300648),福建省福州市马尾区快安马江大道石狮路6号1-4#楼,福建省福州市马尾区快安马江大道石狮路6号1-4#楼,www.e-nebula.com,2017/4/25
福建省,漳州市,龙文区,漳州发展,福建漳州发展股份有限公司,专业零售,193635,2625,1.40%,漳州发展(000753),福建省漳州市胜利东路漳州发展广场,福建省漳州市胜利东路漳州发展广场21楼,www.zzdc.com.cn,1997/6/26
