省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,厦门市,思明区,三安光电,三安光电股份有限公司,电子电气组件与设备,628252,256742,40.90%,三安光电(600703),,湖北省荆州市荆州开发区东方大道131号,福建省厦门市思明区吕岭路1721-1725号,www.sanan-e.com,1996-5-28
福建省,厦门市,思明区,科华恒盛,厦门科华恒盛股份有限公司,电子电气组件与设备,148302,37884,25.50%,科华恒盛(002335),,福建省厦门火炬高新区火炬园马垄路457号,福建省厦门市软件园二期望海路65号楼北楼,www.kehua.com.cn,2010-1-13
福建省,厦门市,思明区,建研集团,厦门市建筑科学研究院集团股份有限公司,建筑施工,133490,15507,11.60%,建研集团(002398),,福建省厦门市思明区湖滨南路62号,福建省厦门市思明区湖滨南路62号,www.xmabr.com,2010-5-6
福建省,厦门市,思明区,奥佳华,奥佳华智能健康科技集团股份有限公司,电子电气组件与设备,288868,22405,7.80%,奥佳华(002614),,福建省厦门市前埔路168号,福建省厦门市思明区前埔路168号(五楼),www.easepal.com.cn,2011-9-9
福建省,厦门市,思明区,万里石,厦门万里石股份有限公司,建材与构件,63077,2751,4.40%,万里石(002785),,福建省厦门市思明区湖滨北路201号宏业大厦8楼,福建省厦门市思明区湖滨北路201号宏业大厦8楼,www.wanlistone.com,2015-12-23
福建省,厦门市,思明区,三五互联,厦门三五互联科技股份有限公司,软件,24561,4898,19.90%,三五互联(300051),,福建省厦门市火炬高新技术产业开发区软件园二期观日路8号一层,福建省厦门市火炬高新技术产业开发区软件园二期观日路8号一层,www.35.com,2010-2-11
福建省,厦门市,思明区,红相电力,厦门红相电力设备股份有限公司,电子电气组件与设备,24599,3011,12.20%,红相电力(300427),,福建省厦门市思明区南投路3号1002单元之一,福建省厦门市思明区南投路3号1002单元之一,www.redphase.com.cn,2015-2-17
福建省,厦门市,思明区,光莆股份,厦门光莆电子股份有限公司,电子电气组件与设备,35793,4405,12.30%,光莆股份(300632),,福建省厦门市思明区岭兜西路608号,福建省厦门市思明区岭兜西路608号、福建省厦门火炬高新区（翔安）产业区民安大道1800-1812号,www.goproled.cn,2017-4-6
福建省,厦门市,思明区,建发股份,厦门建发股份有限公司,综合供应商,14418660,257588,1.80%,建发股份(600153),,福建省厦门市思明区环岛东路1699号建发国际大厦29层,福建省厦门市思明区环岛东路1699号建发国际大厦,www.chinacnd.com,1998-6-16
福建省,厦门市,思明区,厦门钨业,厦门钨业股份有限公司,有色金属,1014236,103680,10.20%,厦门钨业(600549),,福建省厦门市海沧区柯井社,福建省厦门市湖滨南路619号1602室,www.cxtc.com,2002-11-7
福建省,厦门市,思明区,盛屯矿业,盛屯矿业集团股份有限公司,有色金属,1271816,46856,3.70%,盛屯矿业(600711),,福建省厦门市翔安区双沪北路1号之2二楼,福建省厦门市金桥路101号(世纪金桥园)商务楼第四层东侧01单元,www.600711.com,1996-5-31
福建省,厦门市,思明区,厦门国贸,厦门国贸集团股份有限公司,综合供应商,10915070,296640,2.70%,厦门国贸(600755),,福建省厦门市湖滨南路国贸大厦18层,福建省厦门市湖滨南路国贸大厦18层,www.itg.com.cn,1996-10-3
福建省,厦门市,思明区,厦华电子,厦门华侨电子股份有限公司,消费电子产品,354,-500,-141.20%,厦华电子(600870),,福建省厦门市思明区环岛南路3088号三楼302室,福建省厦门市思明区环岛南路3088号三楼302室,www.iprima.com.cn,1995-2-28
福建省,厦门市,思明区,厦门空港,元翔(厦门)国际航空港股份有限公司,运输服务,122234,45895,37.50%,厦门空港(600897),,福建省厦门高崎国际机场,福建省厦门高崎国际机场内厦门机场发展股份有限公司办公楼,www.xiac.com.cn,1996-5-31
福建省,厦门市,思明区,九牧王,九牧王股份有限公司,服装与服饰,178350,42267,23.70%,九牧王(601566),,福建省泉州市经济技术开发区清蒙园区,福建省厦门市思明区宜兰路1号,www.jiumuwang.com,2011-5-30
福建省,厦门市,思明区,紫金矿业,紫金矿业集团股份有限公司,金矿开采,6197726,368934,6.00%,紫金矿业(601899),,福建省上杭县紫金大道1号,福建省厦门市思明区环岛东路1811号中航紫金广场B塔,www.zjky.cn,2008-4-25
福建省,厦门市,思明区,傲农生物,福建傲农生物科技集团股份有限公司,农业与渔业,345817,11513,3.30%,傲农生物(603363),,福建省漳州市芗城区金峰经济开发区兴亭路与宝莲路交叉处,福建省厦门市思明区观音山国际运营中心10号楼12层,www.aonong.com.cn,2017-9-26
福建省,厦门市,思明区,吉比特,厦门吉比特网络技术股份有限公司,互联网,106515,61520,57.80%,吉比特(603444),,福建省厦门软件园二期望海路4号101室,福建省厦门软件园二期望海路4号101室,www.g-bits.com,2017-1-4
