省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,厦门市,湖里区,厦门信达,厦门信达股份有限公司,综合供应商,3767287,15131,0.40%,厦门信达(000701),福建省厦门市湖里区兴隆路27号第7层,福建省厦门市湖里区泗水道669号国贸商务中心第十一层,www.xindeco.com,1997/2/26
福建省,厦门市,湖里区,厦门港务,厦门港务发展股份有限公司,运输服务,987985,18356,1.90%,厦门港务(000905),福建省厦门市东港北路31号港务大厦20楼、21楼,福建省厦门市湖里区东港北路31号港务大厦20层,www.xmgw.com.cn,1999/4/29
福建省,厦门市,湖里区,合兴包装,厦门合兴包装印刷股份有限公司,造纸,427958,15958,3.70%,合兴包装(002228),福建省厦门市同安区同集北路556号,福建省厦门市湖里区五缘湾同安商业大厦2号楼19楼,www.hxpp.com.cn,2008/5/8
福建省,厦门市,湖里区,鹭燕医药,鹭燕(福建)药业股份有限公司,药品零售,598828,14240,2.40%,鹭燕医药(002788),福建省厦门市湖里区安岭路1004号,福建省厦门市湖里区安岭路1004号,www.luyan.com.cn,2016/2/18
福建省,厦门市,湖里区,三维丝,厦门三维丝环保股份有限公司,工业机械,46237,-19858,-42.90%,三维丝(300056),福建省厦门火炬高新区（翔安）产业区春光路1178-1188号,福建省厦门火炬高新区（翔安）产业区春光路1178-1188号,www.savings.com.cn,2010/2/26
福建省,厦门市,湖里区,易联众,易联众信息技术股份有限公司,软件,31183,-6239,-20.00%,易联众(300096),福建省厦门市软件园二期观日路18号502室,福建省厦门市软件园二期观日路18号502室,www.ylzinfo.com,2010/7/28
福建省,厦门市,湖里区,乾照光电,厦门乾照光电股份有限公司,电子电气组件与设备,87170,15268,17.50%,乾照光电(300102),福建省厦门火炬高新区（翔安）产业区翔天路259-269号,福建省厦门火炬高新区（翔安）产业区翔岳路19号,www.changelight.com.cn,2010/8/12
福建省,厦门市,湖里区,美亚柏科,厦门市美亚柏科信息股份有限公司,计算机服务,59244,5273,8.90%,美亚柏科(300188),福建省厦门市软件园二期观日路12号102-402单元,福建省厦门市软件园二期观日路12号美亚柏科大厦,www.300188.cn,2011/3/16
福建省,厦门市,湖里区,麦迪电气,麦克奥迪(厦门)电气股份有限公司,电子电气组件与设备,57356,9997,17.40%,麦迪电气(300341),福建省厦门市火炬高新区(翔安)产业区舫山南路808号,福建省厦门市火炬高新区(翔安)产业区舫山南路808号,www.motic-electric.com,2012/7/26
福建省,厦门市,湖里区,亿联网络,厦门亿联网络技术股份有限公司,软件与计算机服务,106398,52564,49.40%,亿联网络(300628),福建省厦门市湖里区云顶北路16号三楼309,福建省厦门市湖里区云顶北路16号三楼309,www.yealink.com.cn,2017/3/17
福建省,厦门市,湖里区,弘信电子,厦门弘信电子科技股份有限公司,电子电气组件与设备,124789,7098,5.70%,弘信电子(300657),福建省厦门火炬高新区(翔安)产业区翔海路19号之2(1#厂房3楼),福建省厦门火炬高新区(翔安)产业区翔海路19号之2(1#厂房3楼),www.fpc98.com,2017/5/23
福建省,厦门市,湖里区,象屿股份,厦门象屿股份有限公司,通讯设备,14409945,81403,0.60%,象屿股份(600057),福建省厦门市现代物流园区象屿路99号厦门国际航运中心E栋7层08单元,福建省厦门市现代物流园区象屿路99号厦门国际航运中心E栋9层,www.xiangyu.cn,1997/6/4
福建省,厦门市,湖里区,金龙汽车,厦门金龙汽车集团股份有限公司,商用运载工具与车辆,1027396,43878,4.30%,金龙汽车(600686),福建省厦门市湖里区东港北路31号港务大厦7、11楼,福建省厦门市湖里区东港北路31号港务大厦7、11层,www.xmklm.com.cn,1993/11/8
福建省,厦门市,湖里区,清源股份,清源科技(厦门)股份有限公司,建材与构件,62525,5255,8.40%,清源股份(603628),福建省厦门火炬高新区（翔安）产业区民安大道999-1009号,福建省厦门火炬高新区（翔安）产业区民安大道999-1009号,www.clenergy.com.cn,2017/1/12
福建省,厦门市,湖里区,合诚股份,合诚工程咨询股份有限公司,工业工程,23201,5413,23.30%,合诚股份(603909),福建省厦门市湖里区枋钟路2368号1101-1104单元,福建省厦门市湖里区枋钟路2368号1101-1104单元,www.holsin.cn,2016/6/28
