省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,泉州市,泉港区,纳川股份,福建纳川管材科技股份有限公司,建材与构件,89899,4964,5.50%,纳川股份(300198),福建省泉州市泉港区普安工业区,福建省泉州市泉港区普安工业区,www.superpipe.cn,2011-4-7
福建省,泉州市,南安市,天广中茂,天广中茂股份有限公司,工业机械,258771,46830,18.10%,天广中茂(002509),福建省南安市成功科技开发区,福建省南安市成功科技工业区,www.tianguang.com,2010-11-23
福建省,泉州市,南安市,闽发铝业,福建省闽发铝业股份有限公司,铝业,84187,2606,3.10%,闽发铝业(002578),福建省泉州市南安市东田镇蓝溪村（一期）11幢1-3层,福建省南安市南美综合开发区,www.minfa.com,2011-4-28
福建省,泉州市,鲤城区,火炬电子,福建火炬电子科技股份有限公司,电子办公设备,132244,19566,14.80%,火炬电子(603678),福建省泉州市鲤城区江南高新技术电子信息园区紫华路4号,福建省泉州市鲤城区江南高新技术电子信息园区紫华路4号,www.torch.cn,2015-1-26
福建省,泉州市,晋江市,七匹狼,福建七匹狼实业股份有限公司,服装与服饰,205515,26130,12.70%,七匹狼(002029),福建省晋江市金井镇南工业区,福建省晋江市金井镇南工业区,www.septwolves.com,2004-8-6
福建省,泉州市,晋江市,浔兴股份,福建浔兴拉链科技股份有限公司,服装与服饰,106016,10449,9.90%,浔兴股份(002098),福建省晋江市深沪乌漏沟东工业区,福建省晋江市深沪乌漏沟东工业区,www.sbszipper.com.cn,2006-12-22
福建省,泉州市,晋江市,兴业科技,兴业皮革科技股份有限公司,鞋类,138453,4426,3.20%,兴业科技(002674),福建省晋江市安海第二工业区,福建省晋江市安海第二工业区,www.xingyeleather.com,2012-5-7
福建省,泉州市,晋江市,凤竹纺织,福建凤竹纺织科技股份有限公司,服装与服饰,58473,2424,4.10%,凤竹纺织(600493),福建省晋江市青阳凤竹工业区,福建省晋江市青阳凤竹工业区,www.fynex.com.cn,2004-4-21
福建省,泉州市,晋江市,贵人鸟,贵人鸟股份有限公司,鞋类,231396,23692,10.20%,贵人鸟(603555),福建省晋江市陈埭沟西工业区,福建省晋江市陈埭沟西工业区,www.k-bird.com,2014-1-24
福建省,泉州市,惠安县,惠泉啤酒,福建省燕京惠泉啤酒股份有限公司,酿酒业,49626,-1737,-3.50%,惠泉啤酒(600573),福建省泉州市惠安县螺城镇惠泉北路1999号,福建省泉州市惠安县螺城镇建设大街157号,www.huiquan-beer.com,2003-2-26
福建省,泉州市,惠安县,永悦科技,永悦科技股份有限公司,化工品（II）,40930,3676,9.00%,永悦科技(603879),福建省泉州市惠安县泉惠石化园区,福建省泉州市惠安县泉惠石化园区,www.fjyykj.com,2017-6-14
福建省,泉州市,丰泽区,安通控股,安通控股股份有限公司,综合供应商,447308,53148,11.90%,安通控股(600179),黑龙江省齐齐哈尔市富拉尔基区向阳大街2号,福建省泉州市丰泽区刺桐北路868号仁建大厦,--,1998-11-4
福建省,泉州市,丰泽区,南威软件,南威软件股份有限公司,软件与计算机服务,33867,2044,6.00%,南威软件(603636),福建省泉州市丰海路南威大厦2号楼,福建省泉州市丰泽区丰海路南威大厦2号楼,www.linewell.com,2014-12-30
福建省,泉州市,德化县,冠福股份,福建冠福现代家用股份有限公司,耐用消费品,625127,13891,2.20%,冠福股份(002102),福建省泉州市德化县浔中镇土坂村,福建省泉州市德化县浔中镇土坂村,www.guanfu.com,2006-12-29
福建省,泉州市,泉州市,安记食品,安记食品股份有限公司,食品生产（IV）,18201,3096,17.00%,安记食品(603696),福建省泉州市清?骺萍脊ひ登?4-9A,福建省泉州市清?骺萍脊ひ登?4-9A,www.anjifood.com,2015-12-9
