省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,福州市,台江区,航天发展,航天工业发展股份有限公司,通讯设备,143619,21746,15.10%,航天发展(000547),福建省福州市台江区五一南路67号,福建省福州市五一南路17号工行五一支行13层,http://www.szxrjt.com,1993/11/30
福建省,福州市,台江区,三木集团,福建三木集团股份有限公司,百货零售,440600,5483,1.20%,三木集团(000632),福建省福州市开发区君竹路162号,福建省福州市台江区江滨西大道118号IFC福州国际金融中心41层,www.san-mu.com,1996/11/21
福建省,福州市,闽侯县,海源机械,福建海源自动化机械股份有限公司,工业机械,23320,1844,7.90%,海源机械(002529),福建省福州市闽侯县荆溪镇铁岭北路2号,福建省福州市闽侯县荆溪镇铁岭北路2号,www.haiyuan-group.com,2010/12/24
福建省,福州市,闽侯县,博思软件,福建博思软件股份有限公司,软件,13116,1110,8.50%,博思软件(300525),福建省闽侯县上街镇科技东路福州高新技术产业开发区“海西高新技术产业园”创业大厦A区7层,福建省闽侯县上街镇科技东路福州高新技术产业开发区“海西高新技术产业园”创业大厦A,www.bosssoft.com.cn,2016/7/26
福建省,福州市,闽侯县,中富通,中富通股份有限公司,通讯设备,28273,3555,12.60%,中富通(300560),福建省福州市鼓楼区铜盘路软件大道89号软件园F区4号楼20、21、22层,福建省福州市闽侯县荆溪镇永丰村文山里福州软件园五期C楼第20、21、22层,www.zftii.com,2016/11/1
福建省,福州市,闽侯县,恒锋信息,恒锋信息科技股份有限公司,软件,25368,3117,12.30%,恒锋信息(300605),福建省福州市鼓楼区乌山西路318号洪山科技园创业中心大厦二层219室,福建省福州市闽侯县上街镇乌龙江中大道科技东路创新园5号楼,www.i-hengfeng.com,2017/2/8
福建省,福州市,闽侯县,永福股份,福建永福电力设计股份有限公司,电力（III）,39931,6467,16.20%,永福股份(300712),福建省福州市闽侯县上街镇海西科技园高新大道3号,福建省福州市闽侯县上街镇海西科技园高新大道3号,www.fjyfdl.com,2017/10/31
福建省,福州市,马尾区,华映科技,华映科技(集团)股份有限公司,电子电气组件与设备,344518,5474,1.60%,华映科技(000536),福建省福州市马尾区儒江西路6号1#楼第三、四层,福建省福州市马尾区儒江西路6号1#楼第三、四层,www.cpttg.com,1993/11/26
福建省,福州市,马尾区,新大陆,福建新大陆电脑股份有限公司,计算机服务,350656,64284,18.30%,新大陆(000997),福建省福州市马尾区儒江西路1号,福建省福州市马尾区儒江西路1号,www.newlandcomputer.com,2000/8/7
福建省,福州市,马尾区,国脉科技,国脉科技股份有限公司,移动通信服务,105082,10944,10.40%,国脉科技(002093),福建省福州市马尾区江滨东大道116号,福建省福州市马尾区江滨东大道116号,www.guomaitech.com,2006/12/15
福建省,福州市,马尾区,?N兴股份,?N兴集团股份有限公司,容器与包装,148488,10596,7.10%,?N兴股份(002752),福建省福州市经济技术开发区经一路,福建省福州市经济技术开发区经一路,www.shengxingholdings.com,2015/4/22
福建省,福州市,马尾区,星云股份,福建星云电子股份有限公司,工业机械,18784,4313,23.00%,星云股份(300648),福建省福州市马尾区快安马江大道石狮路6号1-4#楼,福建省福州市马尾区快安马江大道石狮路6号1-4#楼,www.e-nebula.com,2017/4/25
福建省,福州市,晋安区,泰禾集团,泰禾集团股份有限公司,不动产投资开发,1598429,175025,10.90%,泰禾集团(000732),福建省三明市梅列区徐碧,福建省福州市晋安区岳峰镇横屿路9号东二环泰禾城市广场2号楼20-31层,www.thaihot.com.cn,1997/7/4
福建省,福州市,晋安区,中国武夷,中国武夷实业股份有限公司,不动产投资开发,217023,21576,9.90%,中国武夷(000797),福建省福州市五四路89号置地广场4层,福建省福州市五四路89号置地广场4层,www.chinawuyi.com.cn,1997/7/15
福建省,福州市,晋安区,福能股份,福建福能股份有限公司,电力（IV）,463887,60057,12.90%,福能股份(600483),福建省南平市安丰路63号,福建省福州市五四路109号东煌大厦13楼,www.fjec.com.cn,2004/5/31
福建省,福州市,晋安区,茶花股份,茶花现代家居用品股份有限公司,家庭用品,52739,9108,17.30%,茶花股份(603615),福建省福州市晋安区鼓山镇蕉坑路168号,福建省福州市晋安区鼓山镇蕉坑路168号,www.chahuajj.com,2017/2/13
福建省,福州市,晋安区,海峡环保,福建海峡环保集团股份有限公司,废物处理与回收服务,26107,8585,32.90%,海峡环保(603817),福建省福州市晋安区鼓山镇洋里路16号,福建省福州市晋安区鼓山镇洋里路16号,www.fjhxhb.com,2017/2/20
福建省,福州市,鼓楼区,平潭发展,中福海峡(平潭)发展股份有限公司,林业,52582,377,0.70%,平潭发展(000592),福建省福州市平潭综合实验区金井湾片区商务营运中心,福建省福州市鼓楼区五四路159号世界金龙大厦23层,www.000592.com,1996/3/27
福建省,福州市,鼓楼区,福晶科技,福建福晶科技股份有限公司,电子电气组件与设备,34492,12576,36.50%,福晶科技(002222),福建省福州市鼓楼区软件大道89号福州软件园F区9号楼,福建省福州市鼓楼区软件大道89号福州软件园F区9号楼福晶科技园,www.castech.com,2008/3/19
福建省,福州市,鼓楼区,新华都,新华都购物广场股份有限公司,百货零售,507121,2844,0.60%,新华都(002264),福建省厦门市思明区香莲里28号莲花广场商业中心二层237-263单元,福建省福州市鼓楼区五四路162号新华都大厦北楼7层,www.nhd-mart.com,2008/7/31
福建省,福州市,鼓楼区,榕基软件,福建榕基软件股份有限公司,软件,45431,2337,5.10%,榕基软件(002474),福建省福州市鼓楼区铜盘路福州软件园产业基地,福建省福州市鼓楼区铜盘路福州软件园产业基地,www.rongji.com,2010/9/15
福建省,福州市,鼓楼区,富春股份,富春科技股份有限公司,移动通信服务,36294,8446,23.30%,富春股份(300299),福建省福州市鼓楼区铜盘路软件大道89号C区25号楼,福建省福州市鼓楼区铜盘路软件大道89号C区25号楼,www.forcom.com.cn,2012/3/19
福建省,福州市,鼓楼区,德艺文创,德艺文化创意集团股份有限公司,广播与娱乐,35381,3258,9.20%,德艺文创(300640),福建省福州市鼓楼区五四路158号环球广场1701单元,福建省福州市鼓楼区五四路158号环球广场1701单元,www.fz-profit.com,2017/4/17
福建省,福州市,鼓楼区,福建高速,福建发展高速公路股份有限公司,运输服务,184694,99874,54.10%,福建高速(600033),福建省福州市东水路18号交通综合大楼,福建省福州市东水路18号福建交通综合大楼26层,www.fjgs.com.cn,2001/2/9
福建省,福州市,鼓楼区,冠城大通,冠城大通股份有限公司,不动产投资开发,483568,94012,19.40%,冠城大通(600067),福建省福州市开发区快安延伸区创新楼,福建省福州市五一北路153号正祥商务中心2#楼8-10层,www.gcdt.net,1997/5/8
福建省,福州市,鼓楼区,中闽能源,中闽能源股份有限公司,电力（IV）,28310,10331,36.50%,中闽能源(600163),福建省南平市延平区滨江北路177号,福建省福州市鼓楼区五四路国际大厦二十二层A、B、C座,www.nanping-paper.com,1998/6/2
福建省,福州市,鼓楼区,福日电子,福建福日电子股份有限公司,消费电子产品,604610,7306,1.20%,福日电子(600203),福建省福州市开发区科技园区快安大道创新楼,福建省福州市鼓楼区五一北路153号正祥商务中心2号楼12、13层,www.furielec.com,1999/5/14
福建省,福州市,鼓楼区,东百集团,福建东百集团股份有限公司,百货零售,267681,24921,9.30%,东百集团(600693),福建省福州市八一七北路84号,福建省福州市八一七北路84号东百大厦18层,www.dongbai.com,1993/11/22
福建省,福州市,鼓楼区,实达集团,福建实达集团股份有限公司,计算机硬件,376813,8399,2.20%,实达集团(600734),福建省福州市经济技术开发区科技工业区A小区C号标准厂房,福建省福州市鼓楼区洪山园路67号实达大厦12、13楼,www.start.com.cn,1996/8/8
福建省,福州市,鼓楼区,福建水泥,福建水泥股份有限公司,建材与构件,117109,-11922,-10.20%,福建水泥(600802),福建省福州市杨桥路118号宏扬新城建福大厦,福建省福州市鼓楼区琴亭路29号福能方圆大厦,www.fjcement.com,1994/1/3
福建省,福州市,鼓楼区,兴业银行,兴业银行股份有限公司,银行业（IV）,10304000,5424400,52.60%,兴业银行(601166),福建省福州市湖东路154号,福建省福州市湖东路154号,www.cib.com.cn,2007/2/5
福建省,福州市,鼓楼区,兴业证券,兴业证券股份有限公司,投资服务,620567,260174,41.90%,兴业证券(601377),福建省福州市湖东路268号,福建省福州市湖东路268号,www.xyzq.com.cn,2010/10/13
