省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
西藏自治区,拉萨市,堆龙德庆县,高争民爆,西藏高争民爆股份有限公司,特种化工品,31192,9415,30.20%,高争民爆(002827),西藏自治区拉萨市经济技术开发区A区林琼岗路18号,拉萨市经济技术开发区A区林琼岗路18号,www.xzmbgf.com,2016-12-9
西藏自治区,拉萨市,城关区,海思科,海思科医药集团股份有限公司,制药,131546,23440,17.80%,海思科(002653),西藏自治区山南地区泽当镇三湘大道17号,西藏自治区山南地区泽当镇香曲东路8号,www.haisco.com,2012-1-17
西藏自治区,拉萨市,城关区,奇正藏药,西藏奇正藏药股份有限公司,制药,69154,22437,32.40%,奇正藏药(002287),西藏自治区林芝市巴宜区德吉路2号,西藏自治区林芝地区八一镇泉州路1号,www.cheezheng.com.cn,2009-8-28
西藏自治区,拉萨市,城关区,卫信康,西藏卫信康医药股份有限公司,通用化工品,28084,7446,26.50%,卫信康(603676),西藏自治区拉萨经济技术开发区孵化园区1#厂房二层收缩缝以南201-1室,西藏自治区拉萨经济技术开发区孵化园区1#厂房二层收缩缝以南201-1室,www.wxkpharma.com,2017-7-21
西藏自治区,拉萨市,城关区,西藏矿业,西藏矿业发展股份有限公司,普通矿开采,42605,5855,13.70%,西藏矿业(000762),西藏自治区拉萨市中和国际城金珠二路8号,西藏自治区拉萨市中和国际城金珠二路8号,--,1997-7-8
西藏自治区,拉萨市,城关区,易明医药,西藏易明西雅医药科技股份有限公司,制药,26487,3800,14.30%,易明医药(002826),西藏自治区拉萨经济技术开发区林琼岗路6号,西藏自治区拉萨经济技术开发区林琼岗路6号,www.emyy.cn,2016-12-9
西藏自治区,拉萨市,城关区,西藏天路,西藏天路股份有限公司,建筑施工,253393,55312,21.80%,西藏天路(600326),西藏自治区拉萨市夺底路14号,西藏自治区拉萨市夺底路14号,www.xztianlu.com,2001-1-16
西藏自治区,拉萨市,城关区,西藏旅游,西藏旅游股份有限公司,旅游业,12750,-1478,-11.60%,西藏旅游(600749),西藏自治区拉萨市林廓东路6号,西藏自治区拉萨市林廓东路6号,www.tibetyalu.com,1996-10-15
西藏自治区,拉萨市,城关区,西藏城投,西藏城市发展投资股份有限公司,不动产投资开发,74622,5677,7.60%,西藏城投(600773),西藏自治区拉萨市金珠西路75号2楼,西藏自治区拉萨市金珠西路56号西藏自治区自治区商务厅办公楼10楼；上海市天目中路380号北方大厦22楼,www.600773sh.com,1996-11-8
西藏自治区,拉萨市,城关区,梅花生物,梅花生物科技集团股份有限公司,食品生产（IV）,794037,72693,9.20%,梅花生物(600873),西藏自治区拉萨市金珠西路158号阳光新城11幢5号,西藏自治区拉萨市金珠西路158号阳光新城11幢5号,www.meihuagrp.com,1995-2-17
西藏自治区,拉萨市,城关区,华钰矿业,西藏华钰矿业股份有限公司,采矿业,55582,23654,42.60%,华钰矿业(601020),西藏自治区拉萨经济技术开发区格桑路华钰大厦,西藏自治区拉萨经济技术开发区格桑路华钰大厦,www.huayumining.com,2016-3-16
西藏自治区,山南地区,山南地区,灵康药业,灵康药业集团股份有限公司,制药,57726,10272,17.80%,灵康药业(603669),西藏自治区山南地区泽当镇乃东路68号乃东县商住楼第二幢一层,西藏自治区山南地区泽当镇乃东路68号乃东县商住楼第二幢一层,www.lingkang.com.cn,2015-5-28
