省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
贵州省,安顺市,镇宁县,红星发展,贵州红星发展股份有限公司,通用化工品,99524,8856,8.90%,红星发展(600367),贵州省安顺市镇宁县丁旗镇,贵州省安顺市镇宁县丁旗镇,www.hxfz.com.cn,2001-3-20
贵州省,贵阳市,云岩区,黔轮胎A,贵州轮胎股份有限公司,轮胎,503714,-19149,-3.80%,黔轮胎A(000589),贵州省贵阳市百花大道41号,贵州省贵阳市百花大道41号,www.gztire.com,1996-3-8
贵州省,贵阳市,云岩区,久联发展,贵州久联民爆器材发展股份有限公司,特种化工品,307166,10649,3.50%,久联发展(002037),贵州省贵阳市高新技术开发区新天园区,贵州省贵阳市宝山北路213号,www.gzjiulian.com/,2004-9-8
贵州省,贵阳市,云岩区,贵州燃气,贵州燃气集团股份有限公司,燃气、水与综合,191790,10824,5.60%,贵州燃气(600903),贵州省贵阳市云岩区中华中路166-1号,贵州省贵阳市云岩区新添大道南段298号,www.guizhougas.com,2017-11-7
贵州省,贵阳市,云岩区,贵阳银行,贵阳银行股份有限公司,银行业（II）,897595,370515,41.30%,贵阳银行(601997),贵州省贵阳市中华北路77号,贵州省贵阳市中华北路77号,www.bankgy.cn,2016-8-16
贵州省,贵阳市,云岩区,永吉股份,贵州永吉印务股份有限公司,媒介代理,22193,6801,30.60%,永吉股份(603058),贵州省贵阳市云岩区观山东路198号,贵州省贵阳市云岩区观山东路198号,www.gz-yongji.com,2016-12-23
贵州省,贵阳市,小河区,贵航股份,贵州贵航汽车零部件股份有限公司,汽车零配件（IV）,238847,13582,5.70%,贵航股份(600523),贵州省贵阳市小河区清水江路1号,贵州省贵阳市小河区珠江路166号,www.ghgf.com.cn,2001-12-27
贵州省,安顺市,西秀区,贵州百灵,贵州百灵企业集团制药股份有限公司,制药,174757,40638,23.30%,贵州百灵(002424),贵州省安顺市经济技术开发区西航大道,贵州省安顺市经济技术开发区西航大道,www.gzbl.com,2010-6-3
贵州省,贵阳市,乌当区,新天药业,贵阳新天药业股份有限公司,医药与生物科技,52549,6542,12.50%,新天药业(002873),贵州省贵阳市贵阳国家高新技术产业开发区新添大道114号,贵州省贵阳市国家高新技术产业开发区新添大道114号,www.liqundepartmentstore.com,2017-5-19
贵州省,贵阳市,乌当区,中天金融,中天金融集团股份有限公司,不动产投资开发,1100611,181051,16.50%,中天金融(000540),贵州省贵阳市观山湖区中天路3号,贵州省贵阳市观山湖区中天路3号201中心,www.ztcn.cn,1994-2-2
