省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
贵州省,贵阳市,乌当区,新天药业,贵阳新天药业股份有限公司,医药与生物科技,52549,6542,12.50%,新天药业(002873),贵州省贵阳市贵阳国家高新技术产业开发区新添大道114号,贵州省贵阳市国家高新技术产业开发区新添大道114号,www.liqundepartmentstore.com,2017-5-19
贵州省,贵阳市,乌当区,中天金融,中天金融集团股份有限公司,不动产投资开发,1100611,181051,16.50%,中天金融(000540),贵州省贵阳市观山湖区中天路3号,贵州省贵阳市观山湖区中天路3号201中心,www.ztcn.cn,1994-2-2
贵州省,贵阳市,乌当区,振华科技,中国振华(集团)科技股份有限公司,电子电气组件与设备,621392,18834,3.00%,振华科技(000733),贵州省贵阳市乌当区新添大道北段268号,贵州省贵阳市乌当区新添大道北段268号,www.czst.com.cn,1997-7-3
贵州省,贵阳市,乌当区,南方汇通,南方汇通股份有限公司,通用化工品,78651,11548,14.70%,南方汇通(000920),贵州省贵阳市国家高新技术产业开发区,贵州省贵阳市乌当区高新路126号,www.crrcgc.cc/ht,1999-6-16
贵州省,贵阳市,乌当区,信邦制药,贵州信邦制药股份有限公司,制药,437636,31035,7.10%,信邦制药(002390),贵州省黔南布依布依族苗族自治州罗甸县龙坪镇解放路96号,贵州省贵阳市乌当区新添大道与航天大道交汇处科开1号苑6楼,www.xinbang.com,2010-4-16
贵州省,贵阳市,乌当区,朗玛信息,贵阳朗玛信息技术股份有限公司,计算机服务,193903,39592,20.40%,朗玛信息(300288),贵州省贵阳市高新金阳科技产业园长岭南路31号(国家数字内容产业园二楼),贵州省贵阳市观山湖区长岭南路31号国家数字内容产业园二楼,www.longmaster.com.cn,2012-2-16
贵州省,贵阳市,乌当区,赤天化,贵州赤天化股份有限公司,制药,108420,-729,-0.70%,赤天化(600227),贵州省贵阳市乌当区新添大道310号,贵州省贵阳市观山湖区阳关大道28号赤天化大厦17楼,www.chth.com.cn,2000-2-21
贵州省,贵阳市,乌当区,益佰制药,贵州益佰制药股份有限公司,制药,287451,36380,12.70%,益佰制药(600594),贵州省贵阳市白云大道220-1号,贵州省贵阳市白云大道220-1号,www.gzcci.com,2004-3-23
贵州省,贵阳市,乌当区,中航重机,中航重机股份有限公司,工业机械,410256,18975,4.60%,中航重机(600765),贵州省贵阳市乌当区北衙路501号,贵州省贵阳市乌当区北衙路501号,www.hm.avic.com,1996-11-6
贵州省,贵阳市,乌当区,贵广网络,贵州省广播电视信息网络股份有限公司,通讯设备,175212,33238,19.00%,贵广网络(600996),贵州省贵阳市观山湖区金阳南路36号,贵州省贵阳市观山湖区金阳南路36号,www.gzgdwl.com,2016-12-26
