省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
辽宁省,大连市,中山区,獐子岛,獐子岛集团股份有限公司,农业与渔业,232314,5410,2.30%,獐子岛(002069),,辽宁省大连市长海县獐子岛镇沙包村,辽宁省大连市中山区港兴路6号大连万达中心写字楼27层,www.zhangzidao.com,2006-9-28
辽宁省,大连市,中山区,天神娱乐,大连天神娱乐股份有限公司,互联网,223715,77895,34.80%,天神娱乐(002354),,辽宁省大连市中山区致富街31号905单元,辽宁省大连市中山区中山九号东塔2403,www.tianshenyule.com,2010-2-9
辽宁省,大连市,中山区,铁龙物流,中铁铁龙集装箱物流股份有限公司,铁路运输,854467,36885,4.30%,铁龙物流(600125),,辽宁省大连市高新园区火炬路32号创业大厦A座2716号,辽宁省大连市中山区新安街1号,www.chinacrt.com,1998-5-11
辽宁省,大连市,中山区,时代万恒,辽宁时代万恒股份有限公司,服装与服饰,101583,2379,2.30%,时代万恒(600241),,辽宁省大连市中山区港湾街7号,辽宁省大连市中山区港湾街7号,www.shidaiwanheng.com,2000-11-28
辽宁省,大连市,中山区,恒力股份,恒力石化股份有限公司,通用化工品,1630049,128707,7.90%,恒力股份(600346),,辽宁省大连市长兴岛临港工业区长松路298号OSBL项目-工务办公楼,辽宁省大连市中山区港兴路6号大连万达中心写字楼41层01-06单元,www.hengliinc.com,2001-8-20
辽宁省,大连市,中山区,大商股份,大商股份有限公司,百货零售,2031133,100402,4.90%,大商股份(600694),,辽宁省大连市中山区青三街1号,辽宁省大连市中山区青三街1号,www.dsjt.com,1993-11-22
辽宁省,大连市,中山区,大连热电,大连热电股份有限公司,电力（IV）,51839,-2413,-4.70%,大连热电(600719),,辽宁省大连市沙河口区香周路210号,辽宁省大连市中山区昆明街32号,www.dlrd.com,1996-7-16
辽宁省,大连市,中山区,辽宁成大,辽宁成大股份有限公司,药品零售,979770,154783,15.80%,辽宁成大(600739),,辽宁省大连市人民路71号,辽宁省大连市人民路71号,www.chengda.com.cn,1996-8-19
辽宁省,大连市,西岗区,大连重工,大连华锐重工集团股份有限公司,工业机械,327016,-765,-0.20%,大连重工(002204),,辽宁省大连市西岗区八一路169号,辽宁省大连市西岗区八一路169号,www.dhidcw.com,2008-1-16
辽宁省,大连市,瓦房店市,壹桥股份,大连壹桥海参股份有限公司,农业与渔业,23192,8344,36.00%,壹桥股份(002447),,辽宁省大连瓦房店市谢屯镇沙山村,辽宁省大连瓦房店市谢屯镇沙山村,www.dlyiqiao.com,2010-7-13
辽宁省,大连市,瓦房店市,瓦轴B(200706),,,{d1},{d2},#VALUE!,瓦轴B(200706),,辽宁省瓦房店市北共济街一段1号,辽宁省瓦房店市北共济街一段1号,,
辽宁省,大连市,沙河口区,大连友谊,大连友谊（集团）股份有限公司,百货零售,134195,742,0.60%,大连友谊(000679),,辽宁省大连市中山区七一街1号,辽宁省大连市沙河口区星海广场B3区35-4号公建,www.dlyy.com.cn,1997-1-24
辽宁省,大连市,沙河口区,大连圣亚,大连圣亚旅游控股股份有限公司,旅游业,30546,11975,39.20%,大连圣亚(600593),,辽宁省大连市沙河口区中山路608-6-8号,辽宁省大连市沙河口区中山路608-6-8号,www.sunasia.com,2002-7-11
辽宁省,大连市,沙河口区,派思股份,大连派思燃气系统股份有限公司,管道输送,42967,6549,15.20%,派思股份(603318),,辽宁省大连市沙河口区体坛路22号诺德大厦41层,辽宁省大连市沙河口区体坛路22号诺德大厦41层,www.energas.cn,2015-4-24
辽宁省,大连市,旅顺口区,百傲化学,大连百傲化学股份有限公司,化工品（II）,29640,9036,30.50%,百傲化学(603360),,辽宁省大连市普湾新区松木岛化工园区沐百路18号,辽宁省大连市旅顺口区经济开发区顺乐街325号,www.biofc.com,2017-2-6
辽宁省,大连市,金州区,大冷股份,大连冷冻机械股份有限公司,工业机械,146370,14633,10.00%,大冷股份(000530),,辽宁省大连市经济技术开发区辽河东路106号,辽宁省大连市经济技术开发区辽河东路106号,www.daleng.cn,1993-12-8
辽宁省,大连市,金州区,天宝食品,大连天宝绿色食品股份有限公司,农业与渔业,99257,11152,11.20%,天宝食品(002220),,辽宁省大连市金州区拥政街道三里村624号,辽宁省大连市金州区拥政街道三里村624号,www.cn-tianbao.com,2008-2-28
辽宁省,大连市,金州区,大连电瓷,大连电瓷集团股份有限公司,电子电气组件与设备,55818,6506,11.70%,大连电瓷(002606),,辽宁省大连经济技术开发区双D港辽河东路88号,辽宁省大连经济技术开发区双D港辽河东路88号,www.insulators.cn,2011-8-5
辽宁省,大连市,金州区,大冷股份,大连冷冻机械股份有限公司,工业机械,146370,14633,10.00%,大冷B(200530),,辽宁省大连市经济技术开发区辽河东路106号,辽宁省大连市经济技术开发区辽河东路106号,www.daleng.cn,1993-12-8
辽宁省,大连市,金州区,大连港,大连港股份有限公司,运输服务,618828,49308,8.00%,大连港(601880),,辽宁省大连保税区大窑湾新港商务大厦,辽宁省大连国际物流园区金港路新港商务大厦,www.dlport.cn,2010-12-6
辽宁省,大连市,金州区,*ST大化B(900951),,,{d1},{d2},#VALUE!,*ST大化B(900951),,辽宁省大连市普湾新区松木岛化工园区,辽宁省大连市普湾新区松木岛化工园区,,
辽宁省,大连市,甘井子区,三垒股份,大连三垒机器股份有限公司,工业机械,12862,3351,26.10%,三垒股份(002621),,辽宁省大连高新技术产业园区七贤岭爱贤街33号,辽宁省大连高新技术产业园区七贤岭爱贤街33号,www.slsj.com.cn,2011-9-29
辽宁省,大连市,甘井子区,智云股份,大连智云自动化装备股份有限公司,工业机械,68960,19870,28.80%,智云股份(300097),,辽宁省大连市甘井子区营日路32号-1,辽宁省大连市甘井子区营日路32号-1,www.zhiyun-cn.com,2010-7-28
辽宁省,大连市,甘井子区,易世达,大连易世达新能源发展股份有限公司,电力（IV）,8635,114,1.30%,易世达(300125),,辽宁省大连市高新技术产业园区火炬路32A号B座20层,辽宁省大连高新园区火炬路32号B座16-20层,www.dleast.cc,2010-10-13
辽宁省,大连市,保税区,*ST大控,大连大显控股股份有限公司,综合供应商,87989,4842,5.50%,*ST大控(600747),,辽宁省大连市甘井子区后革街411号,辽宁省大连市保税区仓储加工区IC-33号,www.dl-hold.com,1996-9-16
