省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
辽宁省,沈阳市,于洪区,*ST沈机,沈阳机床股份有限公司,工业机械,315401,-83071,-26.30%,*ST沈机(000410),,辽宁省沈阳经济技术开发区开发大路17甲1号,辽宁省沈阳经济技术开发区开发大路17甲1号,www.smtcl.com,1996-7-18
辽宁省,沈阳市,于洪区,东北制药,东北制药集团股份有限公司,制药,419134,9654,2.30%,东北制药(000597),,辽宁省沈阳经济技术开发区昆明湖街8号,辽宁省沈阳经济技术开发区昆明湖街8号,www.nepharm.com.cn,1996-5-23
辽宁省,沈阳市,于洪区,远大智能,沈阳远大智能工业集团股份有限公司,工业机械,85429,3283,3.80%,远大智能(002689),,辽宁省沈阳经济技术开发区开发大路27号,辽宁省沈阳经济技术开发区开发大路27号,www.bltelevator.com,2012-7-17
辽宁省,沈阳市,于洪区,荣科科技,荣科科技股份有限公司,计算机服务,25384,991,3.90%,荣科科技(300290),,辽宁省沈阳经济技术开发区开发大路7甲3号,辽宁省沈阳经济技术开发区开发大路7甲3号,www.bringspring.com,2012-2-16
辽宁省,沈阳市,苏家屯区,文投控股,北京文投控股股份有限公司,广播与娱乐,167139,46655,27.90%,文投控股(600715),,辽宁省沈阳市苏家屯区白松路22号,辽宁省沈阳市苏家屯区白松路22号,--,1996-7-1
辽宁省,沈阳市,沈河区,惠天热电,沈阳惠天热电股份有限公司,综合公共事业,98899,-19364,-19.60%,惠天热电(000692),,辽宁省沈阳市沈河区热闹路47号,辽宁省沈阳市沈河区热闹路47号,www.htrd.cn,1997-2-27
辽宁省,沈阳市,沈河区,兴齐眼药,沈阳兴齐眼药股份有限公司,制药,28122,4954,17.60%,兴齐眼药(300573),,辽宁省沈阳市东陵区泗水街68号,辽宁省沈阳市沈河区青年大街185-2号45层,www.sinqi.com,2016-12-8
辽宁省,沈阳市,沈河区,商业城,沈阳商业城股份有限公司,服装服饰零售,61939,11815,19.10%,商业城(600306),,辽宁省沈阳市沈河区中街路212号,辽宁省沈阳市沈河区中街路212号,www.sysyc.cn,2000-12-26
辽宁省,沈阳市,沈河区,金杯汽车,金杯汽车股份有限公司,汽车,418974,-25464,-6.10%,金杯汽车(600609),,辽宁省沈阳市沈河区万柳塘路38号,辽宁省沈阳市沈河区万柳塘路38号,www.jinbei.com.cn,1992-7-24
辽宁省,沈阳市,沈河区,红阳能源,辽宁红阳能源投资股份有限公司,煤炭开采,561453,52394,9.30%,红阳能源(600758),,辽宁省沈阳市皇姑区黄河南大街96-6号启运大厦4楼,辽宁省沈阳市沈河区青年大街1-1号市府恒隆广场1座29层,www.jdjs.net,1996-10-29
辽宁省,沈阳市,沈河区,桃李面包,桃李面包股份有限公司,食品生产（IV）,295532,45396,15.40%,桃李面包(603866),,辽宁省沈阳市苏家屯区丁香街176号,辽宁省沈阳市沈河区青年大街1-1号沈阳市府恒隆广场办公楼1座4005-4010单元,www.tolybread.cn,2015-12-22
