省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
辽宁省,大连市,中山区,獐子岛,獐子岛集团股份有限公司,农业与渔业,232314,5410,2.30%,獐子岛(002069),辽宁省大连市长海县獐子岛镇沙包村,辽宁省大连市中山区港兴路6号大连万达中心写字楼27层,www.zhangzidao.com,2006/9/28
辽宁省,大连市,中山区,天神娱乐,大连天神娱乐股份有限公司,互联网,223715,77895,34.80%,天神娱乐(002354),辽宁省大连市中山区致富街31号905单元,辽宁省大连市中山区中山九号东塔2403,www.tianshenyule.com,2010/2/9
辽宁省,大连市,中山区,铁龙物流,中铁铁龙集装箱物流股份有限公司,铁路运输,854467,36885,4.30%,铁龙物流(600125),辽宁省大连市高新园区火炬路32号创业大厦A座2716号,辽宁省大连市中山区新安街1号,www.chinacrt.com,1998/5/11
辽宁省,大连市,中山区,时代万恒,辽宁时代万恒股份有限公司,服装与服饰,101583,2379,2.30%,时代万恒(600241),辽宁省大连市中山区港湾街7号,辽宁省大连市中山区港湾街7号,www.shidaiwanheng.com,2000/11/28
辽宁省,大连市,中山区,恒力股份,恒力石化股份有限公司,通用化工品,1630049,128707,7.90%,恒力股份(600346),辽宁省大连市长兴岛临港工业区长松路298号OSBL项目-工务办公楼,辽宁省大连市中山区港兴路6号大连万达中心写字楼41层01-06单元,www.hengliinc.com,2001/8/20
辽宁省,大连市,中山区,大商股份,大商股份有限公司,百货零售,2031133,100402,4.90%,大商股份(600694),辽宁省大连市中山区青三街1号,辽宁省大连市中山区青三街1号,www.dsjt.com,1993/11/22
辽宁省,大连市,中山区,大连热电,大连热电股份有限公司,电力（IV）,51839,-2413,-4.70%,大连热电(600719),辽宁省大连市沙河口区香周路210号,辽宁省大连市中山区昆明街32号,www.dlrd.com,1996/7/16
辽宁省,大连市,中山区,辽宁成大,辽宁成大股份有限公司,药品零售,979770,154783,15.80%,辽宁成大(600739),辽宁省大连市人民路71号,辽宁省大连市人民路71号,www.chengda.com.cn,1996/8/19
辽宁省,丹东市,振安区,曙光股份,辽宁曙光汽车集团股份有限公司,商用运载工具与车辆,269865,43497,16.10%,曙光股份(600303),辽宁省丹东市振安区曙光路50号,辽宁省丹东市振安区曙光路50号,www.sgautomotive.com,2000/12/26
辽宁省,沈阳市,于洪区,*ST沈机,沈阳机床股份有限公司,工业机械,315401,-83071,-26.30%,*ST沈机(000410),辽宁省沈阳经济技术开发区开发大路17甲1号,辽宁省沈阳经济技术开发区开发大路17甲1号,www.smtcl.com,1996/7/18
辽宁省,沈阳市,于洪区,东北制药,东北制药集团股份有限公司,制药,419134,9654,2.30%,东北制药(000597),辽宁省沈阳经济技术开发区昆明湖街8号,辽宁省沈阳经济技术开发区昆明湖街8号,www.nepharm.com.cn,1996/5/23
辽宁省,沈阳市,于洪区,远大智能,沈阳远大智能工业集团股份有限公司,工业机械,85429,3283,3.80%,远大智能(002689),辽宁省沈阳经济技术开发区开发大路27号,辽宁省沈阳经济技术开发区开发大路27号,www.bltelevator.com,2012/7/17
辽宁省,沈阳市,于洪区,荣科科技,荣科科技股份有限公司,计算机服务,25384,991,3.90%,荣科科技(300290),辽宁省沈阳经济技术开发区开发大路7甲3号,辽宁省沈阳经济技术开发区开发大路7甲3号,www.bringspring.com,2012/2/16
辽宁省,阜新市,新邱区,大金重工,辽宁大金重工股份有限公司,建材与构件,70974,1225,1.70%,大金重工(002487),辽宁省阜新市新邱区新邱大街155号,辽宁省阜新市新邱区新邱大街155号,www.dajin.cn,2010/10/15
辽宁省,阜新市,细河区,德尔股份,阜新德尔汽车部件股份有限公司,工业机械,159142,12592,7.90%,德尔股份(300473),辽宁省阜新市经济开发区E路55号,辽宁省阜新市经济开发区E路55号,www.dare-auto.com,2015/6/12
辽宁省,营口市,西市区,金辰股份,营口金辰机械股份有限公司,电子电气组件与设备,42312,6518,15.40%,金辰股份(603396),辽宁省营口市西市区新港大街95号,辽宁省营口市西市区新港大街95号,www.jinchensolar.com,2017/10/18
辽宁省,大连市,西岗区,大连重工,大连华锐重工集团股份有限公司,工业机械,327016,-765,-0.20%,大连重工(002204),辽宁省大连市西岗区八一路169号,辽宁省大连市西岗区八一路169号,www.dhidcw.com,2008/1/16
辽宁省,抚顺市,望花区,抚顺特钢,抚顺特殊钢股份有限公司,钢铁,412142,7383,1.80%,抚顺特钢(600399),辽宁省抚顺市望花区和平路东段56号,辽宁省抚顺市望花区鞍山路东段8号,www.fs-ss.com,2000/12/29
辽宁省,大连市,瓦房店市,壹桥股份,大连壹桥海参股份有限公司,农业与渔业,23192,8344,36.00%,壹桥股份(002447),辽宁省大连瓦房店市谢屯镇沙山村,辽宁省大连瓦房店市谢屯镇沙山村,www.dlyiqiao.com,2010/7/13
辽宁省,大连市,瓦房店市,瓦轴B(200706),,{d1},{d2},#VALUE!,瓦轴B(200706),辽宁省瓦房店市北共济街一段1号,辽宁省瓦房店市北共济街一段1号,,,
辽宁省,鞍山市,铁西区,鞍钢股份,鞍钢股份有限公司,钢铁,6050600,338300,5.60%,鞍钢股份(000898),辽宁省鞍山市铁西区鞍钢厂区,辽宁省鞍山市铁西区鞍钢厂区,www.ansteel.com.cn,1997/12/25
辽宁省,铁岭市,铁岭县,*ST新城,铁岭新城投资控股股份有限公司,综合公共事业,6309,7969,126.30%,*ST新城(000809),辽宁省铁岭市凡河新区金沙江路12号,辽宁省铁岭市凡河新区金沙江路11号,www.cdzhonghui.com,1998/6/16
辽宁省,鞍山市,铁东区,梦网荣信,梦网荣信科技集团股份有限公司,互联网,169486,22949,13.50%,梦网集团(002123),辽宁省鞍山市铁东区科技路108号,辽宁省鞍山高新区科技路108号,www.rxpe.com,2007/3/28
辽宁省,鞍山市,铁东区,聚龙股份,聚龙股份有限公司,工业机械,39069,580,1.50%,聚龙股份(300202),辽宁省鞍山市铁东区千山中路308号,辽宁省鞍山市铁东区千山中路308号,www.julong.cc,2011/4/15
辽宁省,鞍山市,铁东区,森远股份,鞍山森远路桥股份有限公司,工业机械,34382,5756,16.70%,森远股份(300210),辽宁省鞍山市鞍千路281号,辽宁省鞍山市鞍千路281号,www.assyrb.com,2011/4/26
辽宁省,锦州市,太和区,锦州港,锦州港股份有限公司,运输服务,313795,10926,3.50%,锦州港(600190),辽宁省锦州经济技术开发区锦港大街一段1号,辽宁省锦州经济技术开发区锦港大街一段1号,www.jinzhouport.com,1999/6/9
辽宁省,锦州市,太和区,锦州港,锦州港股份有限公司,运输服务,313795,10926,3.50%,锦港B股(900952),辽宁省锦州经济技术开发区锦港大街一段1号,辽宁省锦州经济技术开发区锦港大街一段1号,www.jinzhouport.com,1999/6/9
辽宁省,沈阳市,苏家屯区,文投控股,北京文投控股股份有限公司,广播与娱乐,167139,46655,27.90%,文投控股(600715),辽宁省沈阳市苏家屯区白松路22号,辽宁省沈阳市苏家屯区白松路22号,--,1996/7/1
辽宁省,盘锦市,双台子区,华锦股份,北方华锦化学工业股份有限公司,特种化工品,2362406,174827,7.40%,华锦股份(000059),辽宁省盘锦市双台子区红旗大街,辽宁省盘锦市双台子区红旗大街,www.hjch.com,1997/1/30
辽宁省,沈阳市,沈河区,惠天热电,沈阳惠天热电股份有限公司,综合公共事业,98899,-19364,-19.60%,惠天热电(000692),辽宁省沈阳市沈河区热闹路47号,辽宁省沈阳市沈河区热闹路47号,www.htrd.cn,1997/2/27
辽宁省,沈阳市,沈河区,兴齐眼药,沈阳兴齐眼药股份有限公司,制药,28122,4954,17.60%,兴齐眼药(300573),辽宁省沈阳市东陵区泗水街68号,辽宁省沈阳市沈河区青年大街185-2号45层,www.sinqi.com,2016/12/8
辽宁省,沈阳市,沈河区,商业城,沈阳商业城股份有限公司,服装服饰零售,61939,11815,19.10%,商业城(600306),辽宁省沈阳市沈河区中街路212号,辽宁省沈阳市沈河区中街路212号,www.sysyc.cn,2000/12/26
