省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
重庆市,渝中区,渝中区,重庆百货,重庆百货大楼股份有限公司,百货零售,2425281,63297,2.60%,重庆百货(600729),重庆市渝中区民权路28号(英利国际金融中心)第30层、31层、32层,重庆市渝中区青年路18号,www.e-cbest.com,1996/7/2
重庆市,渝中区,广西壮族自治区,重庆水务,重庆水务集团股份有限公司,水务,311265,152042,48.80%,重庆水务(601158),重庆市渝中区龙家湾1号,重庆市渝中区龙家湾1号,www.cncqsw.com,2010/3/29
重庆市,渝北区,渝北区,金科股份,金科地产集团股份有限公司,不动产投资开发,1807399,124806,6.90%,金科股份(000656),重庆市江北区复盛镇正街（政府大楼）,重庆市北部新区春兰三路1号地矿大厦,--,1996/11/28
重庆市,渝北区,渝北区,建新矿业,建新矿业股份有限责任公司,有色金属,92707,42140,45.50%,建新矿业(000688),重庆市涪陵区江东群沱子路31号,重庆市北部新区新南路164号水晶国际808室,www.jianxin0688.com,1997/1/20
重庆市,渝北区,渝北区,中交地产,中交地产股份有限公司,不动产投资开发,41774,-16187,-38.70%,中交地产(000736),重庆市江北区建新北路86号,重庆市渝北区洪湖东路9号财富大厦B座9楼,www.china-propertyholding.com,1997/4/25
重庆市,渝北区,渝北区,北大医药,北大医药股份有限公司,制药,161619,3792,2.30%,北大医药(000788),重庆市北碚区水土镇方正大道21号,重庆市渝北区金开大道56号两江天地1单元9楼、10楼,www.pku-hc.com,1997/6/16
重庆市,渝北区,渝北区,华邦健康,华邦生命健康股份有限公司,制药,611109,46202,7.60%,华邦健康(002004),重庆市渝北区人和星光大道69号,重庆市渝北区人和星光大道69号,www.huapont.com.cn,2004/6/25
重庆市,渝北区,渝北区,莱美药业,重庆莱美药业股份有限公司,制药,86563,6360,7.30%,莱美药业(300006),重庆市南岸区玉马路99号,重庆市北部新区杨柳路2号黄山大道中段重庆应用技术研究院B栋15楼,www.cqlummy.com,2009/10/30
重庆市,渝北区,渝北区,远达环保,国家电投集团远达环保股份有限公司,综合公共事业,219711,13863,6.30%,远达环保(600292),重庆市两江新区黄环北路10号1栋,重庆市两江新区黄环北路10号1栋,www.zdydep.com,2000/11/1
重庆市,渝北区,渝北区,中国汽研,中国汽车工程研究院股份有限公司,汽车,165058,24076,14.60%,中国汽研(601965),重庆市北部新区金渝大道9号,重庆市北部新区金渝大道9号,www.caeri.com.cn,2012/6/11
