省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
陕西省,西安市,雁塔区,天地源,天地源股份有限公司,不动产投资开发,265363,22182,8.40%,天地源(600665),,上海市浦东新区张杨路500号华润时代广场二十六楼K单元,陕西省西安市高新技术开发区科技路33号高新国际商务中心27层,www.tande.cn,1993-7-9
陕西省,西安市,雁塔区,中航电测,中航电测仪器股份有限公司,电子电气组件与设备,90188,13288,14.70%,中航电测(300114),,陕西省汉中市经济开发区北区鑫源路,陕西省西安市高新技术产业开发区西部大道166号,www.zemic.com.cn,2010-8-27
陕西省,西安市,雁塔区,蓝晓科技,西安蓝晓科技新材料股份有限公司,通用化工品,33128,6754,20.40%,蓝晓科技(300487),,陕西省西安市高新开发区锦业路135号,陕西省西安市高新开发区锦业路135号,www.sunresin.com,2015-7-2
陕西省,西安市,雁塔区,金花股份,金花企业（集团）股份有限公司,制药,54928,3742,6.80%,金花股份(600080),,陕西省西安市高新技术产业开发区科技四路202号,陕西省西安市高新技术产业开发区科技四路202号,www.ginwa.com.cn,1997-6-12
陕西省,西安市,雁塔区,标准股份,西安标准工业股份有限公司,工业机械,52722,-1947,-3.70%,标准股份(600302),,陕西省西安市太白南路335号,陕西省西安市太白南路335号,www.chinatypical.com,2000-12-13
陕西省,西安市,雁塔区,航天动力,陕西航天动力高科技股份有限公司,工业机械,105020,814,0.80%,航天动力(600343),,陕西省西安市高新技术产业开发区锦业路78号,陕西省西安市高新技术产业开发区锦业路78号,www.china-htdl.com,2003-4-8
陕西省,西安市,雁塔区,博通股份,西安博通资讯股份有限公司,软件,11520,-332,-2.90%,博通股份(600455),,陕西省西安市经济技术开发区未央路130号凯鑫大厦,陕西省西安市高新技术开发区东区火炬路3号楼10层C座,www.butone.com,2004-3-29
陕西省,西安市,雁塔区,曲江文旅,西安曲江文化旅游股份有限公司,旅游业,80356,9250,11.50%,曲江文旅(600706),,陕西省西安市曲江新区雁塔南路292号曲江文化大厦7-8层,陕西省西安市曲江新区雁塔南路292号曲江文化大厦6-7层,www.qjtourism.com,1996-5-16
陕西省,西安市,雁塔区,*ST宏盛,西安宏盛科技发展股份有限公司,不动产投资开发,465,63,13.60%,*ST宏盛(600817),,陕西省西安曲江新区雁南五路商通大道曲江行政商务区会所裙楼三层306室,陕西省西安曲江新区雁南五路商通大道曲江综合服务中心,www.Norcent.com.cn,1994-1-28
陕西省,西安市,雁塔区,广电网络,陕西广电网络传媒(集团)股份有限公司,广播与娱乐,200973,11883,5.90%,广电网络(600831),,陕西省西安曲江新区行政商务区曲江首座大厦14-16，18-19，22-24层,陕西省西安曲江新区行政商务区曲江?首座大厦,www.600831.com,1994-2-24
陕西省,西安市,雁塔区,金钼股份,金堆城钼业股份有限公司,有色金属,813117,4330,0.50%,金钼股份(601958),,陕西省西安市高新技术产业开发区锦业一路88号,陕西省西安市高新技术产业开发区锦业一路88号金钼股份综合楼A座,www.jdcmoly.com,2008-4-17
