省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
黑龙江省,哈尔滨市,香坊区,博实股份,哈尔滨博实自动化股份有限公司,工业机械,52272,9747,18.60%,博实股份(002698),黑龙江省哈尔滨开发区迎宾路集中区东湖街9号,黑龙江省哈尔滨开发区迎宾路集中区东湖街9号,www.boshi.cn,2012/9/11
黑龙江省,哈尔滨市,香坊区,哈高科,哈尔滨高科技(集团)股份有限公司,食品生产（IV）,12362,1022,8.30%,哈高科(600095),黑龙江省哈尔滨开发区迎宾路集中区天平路2号,黑龙江省哈尔滨开发区迎宾路集中区天平路2号,www.hgk-group.com,1997/7/8
黑龙江省,哈尔滨市,松北区,九洲电气,哈尔滨九洲电气股份有限公司,电子电气组件与设备,98877,11882,12.00%,九洲电气(300040),黑龙江省哈尔滨市南岗区哈平路609号,黑龙江省哈尔滨市松北区九洲路609号,www.jze.com.cn,2010/1/8
黑龙江省,哈尔滨市,松北区,哈空调,哈尔滨空调股份有限公司,电子电气组件与设备,22973,-4818,-21.00%,哈空调(600202),黑龙江省哈尔滨市南岗区高新技术产业开发区嵩山路26号楼,黑龙江省哈尔滨市高新技术开发区迎宾路集中区滇池街7号,www.hac.com.cn,1999/6/3
黑龙江省,哈尔滨市,松北区,哈投股份,哈尔滨哈投投资股份有限公司,电力（IV）,76859,39195,51.00%,哈投股份(600864),黑龙江省哈尔滨市南岗区昆仑商城隆顺街27号,黑龙江省哈尔滨市松北区创新二路277号哈尔滨经济创新研发中心大厦29层,--,1994/8/9
黑龙江省,哈尔滨市,双城市,葵花药业,葵花药业集团股份有限公司,生物科技,262071,32349,12.30%,葵花药业(002737),黑龙江省哈尔滨高新技术产业开发区迎宾路集中区东湖路18号,黑龙江省哈尔滨高新技术产业开发区迎宾路集中区东湖路18号,www.kuihuayaoye.com,2014/12/30
黑龙江省,哈尔滨市,平房区,中直股份,中航直升机股份有限公司,航空航天,780068,33766,4.30%,中直股份(600038),黑龙江省哈尔滨市高新技术开发区集中开发区34号楼,黑龙江省哈尔滨市平房区友协大街15号,www.hafei.com,2000/12/18
黑龙江省,哈尔滨市,平房区,东安动力,哈尔滨东安汽车动力股份有限公司,汽车零配件（IV）,129221,4479,3.50%,东安动力(600178),黑龙江省哈尔滨市南岗区高新技术开发区13栋,黑龙江省哈尔滨市平房区保国街51号,www.daengine.com.cn,1998/10/14
黑龙江省,哈尔滨市,南岗区,中飞股份,哈尔滨中飞新技术股份有限公司,铝业,11977,1086,9.10%,中飞股份(300489),黑龙江省哈尔滨市哈南工业新城核心区哈南第八大道5号,黑龙江省哈尔滨经开区哈平路集中区机电配套基地锦州路东侧,www.zfgf.cc,2015/7/1
黑龙江省,哈尔滨市,南岗区,万向德农,万向德农股份有限公司,农业与渔业,16293,3572,21.90%,万向德农(600371),黑龙江省哈尔滨市南岗区玉山路18号,黑龙江省哈尔滨市南岗区玉山路18号,www.wxdoneed.com,2002/9/16
